ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260709_094136_L582;20260709_094136;09.07.2026;09:31:00;582;22;1625;10;U1881Z1;Říčany,Olivovna;49.99166;14.65627
20260709_094136_L400;20260709_094136;09.07.2026;09:25:00;400;51;1090;13;U6072Z2;Praha,Střížkov;50.44526;14.47254
20260709_094136_L300;20260709_094136;09.07.2026;09:29:00;300;22;8953;11;U4308Z3;Smečno;50.13248;14.11049
20260709_094136_L315;20260709_094136;09.07.2026;09:30:00;315;2;8679;11;U3393Z2;Praha,Černý Most;50.43377;14.92646
20260709_094136_L342;20260709_094136;09.07.2026;09:28:00;342;3;7686;13;U4786Z1;Slaný,žel.st.;50.23011;14.0837
20260709_094136_L617;20260709_094136;09.07.2026;09:29:00;617;17;7326;12;U4716Z1;Roudnice n.L.,žel.st.;50.42341;14.25571
20260709_094136_L499;20260709_094136;09.07.2026;09:28:00;499;13;8698;11;U3039Z1;Mladá Boleslav,aut.st.;50.2961;15.01383
20260709_094136_L481;20260709_094136;09.07.2026;09:28:00;481;15;7622;11;U9935Z2;Uhlířské Janovice,nám.;49.88173;15.06868
20260709_094136_L754;20260709_094136;09.07.2026;09:22:00;754;19;7203;15;U7925Z1;Příbram,aut.nádr.;49.6719;14.39227
20260709_094136_L410;20260709_094136;09.07.2026;09:26:00;410;9;11646;12;U6070Z1;Mimoň,aut.st.;50.46563;14.47322
20260709_094136_L164;20260709_094136;09.07.2026;09:30:00;164;1;1955;10;U563Z2P;Malovanka;50.08522;14.37899
20260709_094136_L136;20260709_094136;09.07.2026;09:30:00;136;23;6982;10;U29Z1P;Jižní Město;50.07256;14.47046
20260709_094136_L705;20260709_094136;09.07.2026;09:12:00;705;39;8692;29;U2458Z2;Poděbrady,žel.st.;50.14371;15.15421
20260709_094136_L136;20260709_094136;09.07.2026;09:31:00;136;4;5546;10;U417Z1P;Jižní Město;50.0429;14.48779
20260709_094136_L400;20260709_094136;09.07.2026;09:12:00;400;58;1082;10;U1793Z3;Rumburk,žel.st.;50.46306;14.47455
20260709_094136_L309;20260709_094136;09.07.2026;09:31:00;309;76;9578;10;U1629Z2;Praha,Nádraží Radotín;49.98614;14.3276
20260709_094136_L399;20260709_094136;09.07.2026;09:13:00;399;1;1294;26;U85Z1;Praha,Nádraží Veleslavín;50.09359;14.33507
20260709_094136_L356;20260709_094136;09.07.2026;09:28:00;356;33;8818;10;U5971Z2;Praha,Obchodní centrum Ruzyně;50.10874;14.27545
20260709_094136_L369;20260709_094136;09.07.2026;09:29:00;369;33;8233;11;U1960Z2;Praha,Ládví;50.22539;14.49493
20260709_094136_L386;20260709_094136;09.07.2026;09:31:00;386;31;8807;10;U4212Z1;Praha,Zličín;50.06829;14.01601
20260709_094136_L708;20260709_094136;09.07.2026;09:02:00;708;2;12932;36;U4280Z2;Panenský Týnec;50.29082;13.92839
20260709_094136_L639;20260709_094136;09.07.2026;09:28:00;639;19;9440;12;U9812Z2;Hostomice,nám.;49.82552;14.04379
20260709_094136_L506;20260709_094136;09.07.2026;09:30:00;506;16;9535;10;U3287Z12;Příbram,Svatá Hora areál;49.69206;14.00344
20260709_094136_L197;20260709_094136;09.07.2026;09:31:00;197;3;6804;10;U110Z12P;Smíchovské nádraží;50.04751;14.41434
20260709_094136_L204;20260709_094136;09.07.2026;09:28:00;204;74;9048;12;U1163Z1P;Stavební zóna Horní Počernice;50.09273;14.58836
20260709_094136_L300;20260709_094136;09.07.2026;09:26:00;300;11;8972;12;U85Z1;Praha,Nádraží Veleslavín;50.09575;14.34699
20260709_094136_L149;20260709_094136;09.07.2026;09:30:00;149;8;4199;11;U685Z3P;Stodůlky-Bavorská;50.05492;14.37192
20260709_094538_L136;20260709_094538;09.07.2026;09:34:00;136;23;6982;10;U37Z1P;Jižní Město;50.06043;14.46955
20260709_094538_L450;20260709_094538;09.07.2026;09:35:00;450;8;7506;10;U7838Z1;Milevsko,aut.st.;49.5928;14.38046
20260709_094538_L499;20260709_094538;09.07.2026;09:34:00;499;13;8698;10;U6243Z2;Mladá Boleslav,aut.st.;50.32097;15.01248
20260709_094538_L400;20260709_094538;09.07.2026;09:12:00;400;58;1082;12;U1793Z3;Rumburk,žel.st.;50.48145;14.48479
20260709_094538_L300;20260709_094538;09.07.2026;09:32:00;300;22;8953;12;U4310Z1;Smečno;50.1405;14.09948
20260709_094538_L315;20260709_094538;09.07.2026;09:32:00;315;2;8679;11;U3392Z2;Praha,Černý Most;50.42099;14.91523
20260709_094538_L356;20260709_094538;09.07.2026;09:35:00;356;33;8818;10;U218Z2;Praha,Obchodní centrum Ruzyně;50.09574;14.29319
20260709_094538_L410;20260709_094538;09.07.2026;09:30:00;410;9;11646;14;U6073Z1;Mimoň,aut.st.;50.4856;14.48422
20260709_094538_L754;20260709_094538;09.07.2026;09:34:00;754;12;7226;10;U4536Z2;Benešov,Terminál;49.72335;14.48297
20260709_094538_L380;20260709_094538;09.07.2026;09:35:00;380;2;9982;10;U113Z4;Praha,Vypich;50.06385;14.31624
