ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260710_091746_L429;20260710_091746;10.07.2026;09:00:00;429;19;8877;15;U5971Z2;Praha,Nádraží Veleslavín;50.11046;14.27927
20260710_091746_L400;20260710_091746;10.07.2026;09:01:00;400;56;1087;15;U31352Z1;Nový Bor,aut.nádr.;50.64294;14.53629
20260710_091746_L673;20260710_091746;10.07.2026;09:05:00;673;31;8574;10;U2973Z7;Křinec,škola;50.18952;15.04166
20260710_091746_L444;20260710_091746;10.07.2026;09:06:00;444;5;9181;10;U1570Z1;Davle,obec;49.90172;14.5153
20260710_091746_L324;20260710_091746;10.07.2026;09:02:00;324;27;8996;15;U776Z2;Praha,Zličín;50.10971;14.28009
20260710_091746_L342;20260710_091746;10.07.2026;09:06:00;342;3;7686;11;U4413Z2;Slaný,žel.st.;50.17019;14.11188
20260710_091746_L399;20260710_091746;10.07.2026;09:06:00;399;13;1261;11;U4310Z1;Kladno,Energie;50.13863;14.10121
20260710_091746_L589;20260710_091746;10.07.2026;07:37:00;589;34;7688;95;U9232Z1;Kvílice,I;50.2706;13.99034
20260710_091746_L347;20260710_091746;10.07.2026;09:05:00;347;21;8885;12;U1178Z4;Praha,Motol;50.0658;14.22418
20260710_091746_L391;20260710_091746;10.07.2026;09:06:00;391;33;9187;12;U1912Z2;Praha,Nádraží Klánovice;50.05644;14.6807
20260710_091746_L805;20260710_091746;10.07.2026;09:02:00;805;15;7608;11;U6668Z1;Zbraslavice,nám.;49.99291;15.25571
20260710_091746_L679;20260710_091746;10.07.2026;08:55:00;679;54;1645;20;U5896Z2;Kolín,nádraží;50.02427;15.21349
20260710_091746_L231;20260710_091746;10.07.2026;09:04:00;231;10;4173;12;U965Z1P;Na Knížecí;50.06334;14.40519
20260710_091746_L754;20260710_091746;10.07.2026;08:52:00;754;19;7203;13;U4536Z1;Příbram,aut.nádr.;49.69809;14.43827
20260710_091746_L149;20260710_091746;10.07.2026;09:07:00;149;4;4172;10;U238Z1P;Stodůlky-Bavorská;50.0525;14.3597
20260710_091746_L342;20260710_091746;10.07.2026;09:07:00;342;4;7692;10;U776Z2;Praha,Nádraží Veleslavín;50.10996;14.2826
20260710_091746_L300;20260710_091746;10.07.2026;08:51:00;300;29;8994;23;U80Z3;Kladno,u kostela;50.12614;14.26676
