ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260515_211636_L345;20260515_211636;15.05.2026;20:02:00;345;17;1865;63;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_211636_L389;20260515_211636;15.05.2026;21:03:00;389;10;7752;11;U32406Z12;Chomutov,žel.st.;50.4568;13.40072
20260515_212036_L345;20260515_212036;15.05.2026;20:02:00;345;17;1865;67;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_212036_L389;20260515_212036;15.05.2026;21:03:00;389;10;7752;16;U32406Z12;Chomutov,žel.st.;50.4568;13.40074
20260515_212437_L345;20260515_212437;15.05.2026;20:02:00;345;17;1865;71;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_212437_L389;20260515_212437;15.05.2026;21:03:00;389;10;7752;19;U32406Z12;Chomutov,žel.st.;50.4568;13.40074
20260515_212837_L136;20260515_212837;15.05.2026;21:16:00;136;55;6876;11;U1074Z4P;Jižní Město;50.09117;14.4683
20260515_212837_L345;20260515_212837;15.05.2026;20:02:00;345;17;1865;75;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_212837_L389;20260515_212837;15.05.2026;21:03:00;389;10;7752;23;U32406Z12;Chomutov,žel.st.;50.4568;13.40074
20260515_213237_L136;20260515_213237;15.05.2026;21:20:00;136;55;6876;12;U2787Z2P;Jižní Město;50.08773;14.45675
20260515_213237_L311;20260515_213237;15.05.2026;21:22:00;311;75;9763;10;U1654Z1;Mořina;50.0151;14.21572
20260515_213237_L345;20260515_213237;15.05.2026;20:02:00;345;17;1865;79;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_213237_L389;20260515_213237;15.05.2026;21:03:00;389;10;7752;27;U32406Z12;Chomutov,žel.st.;50.4568;13.40075
20260515_213237_L705;20260515_213237;15.05.2026;21:20:00;705;37;8697;12;U6647Z1;Kolín,PZKO-TOYOTA;50.09166;15.24175
20260515_213638_L705;20260515_213638;15.05.2026;21:25:00;705;37;8697;11;U6646Z2;Kolín,PZKO-TOYOTA;50.07271;15.24418
20260515_213638_L389;20260515_213638;15.05.2026;21:03:00;389;10;7752;31;U32406Z12;Chomutov,žel.st.;50.45682;13.40079
20260515_213638_L136;20260515_213638;15.05.2026;21:23:00;136;55;6876;13;U516Z3P;Jižní Město;50.08212;14.45945
20260515_213638_L345;20260515_213638;15.05.2026;20:02:00;345;17;1865;83;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_214038_L136;20260515_214038;15.05.2026;21:27:00;136;55;6876;13;U518Z3P;Jižní Město;50.07588;14.459
20260515_214038_L164;20260515_214038;15.05.2026;21:29:00;164;3;1969;11;U362Z12P;Sídliště Řepy;50.08556;14.38143
20260515_214038_L311;20260515_214038;15.05.2026;21:28:00;311;75;9763;10;U1658Z1;Mořina;49.98467;14.19481
20260515_214038_L345;20260515_214038;15.05.2026;20:02:00;345;17;1865;87;U32718Z1;Liberec,aut.nádr.;50.73009;15.05532
20260515_214038_L389;20260515_214038;15.05.2026;21:03:00;389;10;7752;36;U32406Z12;Chomutov,žel.st.;50.45682;13.40078
20260515_214438_L354;20260515_214438;15.05.2026;21:30:00;354;12;1681;11;U897Z6;Jirny,LE&CO;50.11101;14.58954
20260515_214438_L164;20260515_214438;15.05.2026;21:29:00;164;3;1969;13;U362Z12P;Sídliště Řepy;50.08556;14.38143
