ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260616_093739_L400;20260616_093739;16.06.2026;09:22:00;400;51;1091;14;U6077Z2;Praha,Střížkov;50.48683;14.48497
20260616_093739_L315;20260616_093739;16.06.2026;09:18:00;315;4;1865;17;U3063Z1;Mnichovo Hradiště,dopravní terminál;50.41051;14.92664
20260616_093739_L136;20260616_093739;16.06.2026;09:13:00;136;14;5098;22;U1074Z4P;Jižní Město;50.09231;14.47008
20260616_093739_L379;20260616_093739;16.06.2026;09:03:00;379;12;1240;28;U3001Z2;Praha,Černý Most;50.15595;14.66102
20260616_093739_L149;20260616_093739;16.06.2026;09:02:00;149;9;4174;35;U786Z1P;Stodůlky-Bavorská;50.05589;14.32934
20260616_093739_L209;20260616_093739;16.06.2026;09:00:00;209;43;9168;37;U1233Z2P;Nádraží Uhříněves;50.03289;14.60921
20260616_093739_L209;20260616_093739;16.06.2026;09:10:00;209;41;9191;26;U2276Z1P;Nádraží Uhříněves;50.08125;14.61638
20260616_093739_L191;20260616_093739;16.06.2026;09:25:00;191;4;4008;11;U872Z2P;Obchodní centrum Ruzyně;50.07971;14.3466
20260616_093739_L123;20260616_093739;16.06.2026;09:23:00;123;3;4198;14;U426Z2P;Kavalírka;50.06679;14.36448
20260616_093739_L149;20260616_093739;16.06.2026;09:20:00;149;11;4016;15;U321Z4P;Dejvická;50.1;14.39555
20260616_093739_L168;20260616_093739;16.06.2026;09:25:00;168;8;2034;12;U3299Z2P;Nové Butovice;50.06003;14.33189
20260616_093739_L354;20260616_093739;16.06.2026;09:20:00;354;22;8267;17;U452Z2;Praha,Černý Most;50.11547;14.61302
20260616_093739_L110;20260616_093739;16.06.2026;09:27:00;110;8;8103;10;U1197Z1P;Dolní Počernice;50.10219;14.55463
20260616_093739_L136;20260616_093739;16.06.2026;09:17:00;136;33;5073;19;U225Z1P;Jižní Město;50.09958;14.49621
20260616_093739_L100;20260616_093739;16.06.2026;09:12:00;100;3;5567;23;U629Z3P;Letiště / Airport ✈;50.10552;14.27169
20260616_093739_L231;20260616_093739;16.06.2026;09:24:00;231;8;4184;12;U965Z1P;Na Knížecí;50.06392;14.40469
20260616_093739_L342;20260616_093739;16.06.2026;09:20:00;342;3;7686;17;U4774Z1;Slaný,žel.st.;50.21653;14.12389
20260616_093739_L345;20260616_093739;16.06.2026;08:35:00;345;36;10654;25;U897Z63;Liberec,aut.nádr.;50.41876;14.91733
20260616_093739_L345;20260616_093739;16.06.2026;08:34:00;345;35;8549;33;U3063Z2;Praha,Černý Most;50.14211;14.64877
