ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260617_190902_L136;20260617_190902;17.06.2026;18:57:00;136;31;5104;12;U181Z1P;Jižní Město;50.04013;14.49019
20260617_190902_L136;20260617_190902;17.06.2026;18:57:00;136;7;5539;11;U751Z2P;Jižní Město;50.05257;14.47513
20260617_190902_L188;20260617_190902;17.06.2026;18:59:00;188;1;6989;10;U198Z1P;Kavčí hory;50.06549;14.49256
20260617_190902_L534;20260617_190902;17.06.2026;17:51:00;534;20;7616;75;U6018Z1;Kolín,nádraží;50.02445;15.2137
20260617_190902_L384;20260617_190902;17.06.2026;18:57:00;384;16;9869;11;U9617Z2;Hořovice,nám.B.Němcové;49.83574;13.90257
20260617_190902_L136;20260617_190902;17.06.2026;18:57:00;136;6;6780;12;U353Z1P;Jižní Město;50.02601;14.5211
20260617_190902_L188;20260617_190902;17.06.2026;18:47:00;188;4;5116;21;U90Z2P;Želivského;50.07333;14.50477
20260617_190902_L415;20260617_190902;17.06.2026;18:29:00;415;19;8346;14;U3143Z1;Praha,Zličín;50.09952;14.17055
20260617_190902_L345;20260617_190902;17.06.2026;18:54:00;345;39;10777;10;U31059Z1;Liberec,aut.nádr.;50.66469;15.09677
20260617_190902_L188;20260617_190902;17.06.2026;18:59:00;188;8;5102;10;U385Z1P;Kavčí hory;50.05162;14.43779
20260617_191303_L136;20260617_191303;17.06.2026;19:00:00;136;6;6780;13;U151Z1P;Jižní Město;50.0315;14.53366
20260617_191303_L136;20260617_191303;17.06.2026;19:03:00;136;7;5539;10;U181Z1P;Jižní Město;50.04011;14.4901
20260617_191303_L136;20260617_191303;17.06.2026;19:01:00;136;31;5104;12;U106Z2P;Jižní Město;50.02793;14.50762
20260617_191303_L155;20260617_191303;17.06.2026;19:01:00;155;2;9466;10;U834Z2P;Nemocnice Vinohrady;50.08722;14.48173
20260617_191303_L155;20260617_191303;17.06.2026;19:01:00;155;1;9120;10;U4572Z2P;Poliklinika Malešice;50.08529;14.50222
20260617_191303_L188;20260617_191303;17.06.2026;19:02:00;188;1;6989;10;U671Z3P;Kavčí hory;50.057;14.49379
20260617_191303_L199;20260617_191303;17.06.2026;18:59:00;199;6;4072;12;U921Z6P;Sídliště Malešice;50.07906;14.47523
20260617_191303_L311;20260617_191303;17.06.2026;19:00:00;311;75;9579;10;U1601Z1;Řevnice,nádraží;49.91379;14.23483
20260617_191303_L580;20260617_191303;17.06.2026;19:01:00;580;19;7693;10;U9331Z1;Slaný,aut.nádr.;50.17641;13.82099
20260617_191705_L136;20260617_191705;17.06.2026;19:07:00;136;7;5539;10;U106Z2P;Jižní Město;50.02792;14.5076
