ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260520_100357_L405;20260520_100357;20.05.2026;09:19:00;405;66;1421;37;U31020Z1;Špindlerův Mlýn,aut.st.;50.6199;15.60703
20260520_100357_L619;20260520_100357;20.05.2026;09:36:00;619;25;8741;26;U9330Z2;Řevničov;50.18263;13.81164
20260520_100357_L375;20260520_100357;20.05.2026;09:53:00;375;5;8257;10;U179Z1;Brandýs n.L.-St.Bol.,Žel.st.;50.14807;14.58539
20260520_100357_L380;20260520_100357;20.05.2026;09:48:00;380;3;9973;15;U4273Z1;Praha,Vypich;49.96852;14.08074
20260520_100357_L384;20260520_100357;20.05.2026;09:43:00;384;20;9888;12;U2370Z2;Praha,Zličín;50.03997;14.22984
20260520_100357_L117;20260520_100357;20.05.2026;09:50:00;117;4;1915;12;U1006Z51P;Nové Komořany;50.00123;14.40541
20260520_100357_L166;20260520_100357;20.05.2026;09:52:00;166;3;1943;12;U881Z1P;Domov seniorů Ďáblice;50.12084;14.47121
20260520_100357_L337;20260520_100357;20.05.2026;09:45:00;337;12;9956;15;U50Z9;Kamenice,Kult.dům;50.03931;14.45789
20260520_100357_L316;20260520_100357;20.05.2026;09:53:00;316;10;8889;10;U1691Z1;Holubice;50.19106;14.31923
20260520_100357_L360;20260520_100357;20.05.2026;09:50:00;360;3;7205;12;U4762Z2;Praha,Smíchovské nádraží;49.68634;14.40335
20260520_100357_L332;20260520_100357;20.05.2026;09:53:00;332;2;9192;11;U1330Z1;Neveklov;49.96752;14.5148
20260520_100357_L540;20260520_100357;20.05.2026;08:39:00;540;15;7594;82;U6701Z1;Dymokury;50.24359;15.20829
20260520_100357_L136;20260520_100357;20.05.2026;09:50:00;136;14;5079;13;U916Z1P;Jižní Město;50.02521;14.51513
20260520_100357_L136;20260520_100357;20.05.2026;09:51:00;136;33;5515;12;U181Z1P;Jižní Město;50.03945;14.49048
20260520_100357_L195;20260520_100357;20.05.2026;09:51:00;195;23;6772;12;U474Z5P;Sídliště Letňany;50.11097;14.50257
20260520_100357_L315;20260520_100357;20.05.2026;09:48:00;315;4;1861;16;U3400Z1;Mnichovo Hradiště,dopravní terminál;50.49687;14.96781
20260520_100357_L775;20260520_100357;20.05.2026;09:31:00;775;31;9790;33;U3058Z1;Luštěnice,Sluneční;50.31658;14.91201
20260520_100357_L546;20260520_100357;20.05.2026;09:50:00;546;5;9572;13;U31497Z2;Rokycany,aut.nádr.;49.73479;13.75716
20260520_100357_L125;20260520_100357;20.05.2026;09:53:00;125;21;6837;11;U1068Z2P;Skalka;50.06845;14.5177
20260520_100357_L201;20260520_100357;20.05.2026;09:52:00;201;4;4127;12;U622Z2P;Nádraží Holešovice;50.11745;14.45772
20260520_100357_L395;20260520_100357;20.05.2026;09:46:00;395;45;9855;12;U9646Z2;Praha,Smíchovské nádraží;49.74752;14.15165
20260520_100357_L389;20260520_100357;20.05.2026;08:12:00;389;16;7765;110;U32406Z12;Chomutov,žel.st.;50.45668;13.40016
