ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260613_155111_L526;20260613_155111;13.06.2026;15:40:00;526;5;9838;10;U5005Z2;Zdice,nám.;49.88345;13.9241
20260613_155111_L149;20260613_155111;13.06.2026;15:41:00;149;3;3937;10;U968Z1P;Stodůlky-Bavorská;50.0549;14.34615
20260613_155111_L410;20260613_155111;13.06.2026;15:28:00;410;17;11691;21;U31311Z1;Doksy,žel.st.;50.55377;14.5837
20260613_155111_L730;20260613_155111;13.06.2026;15:25:00;730;28;1244;21;U31289Z1;Vítkovice,Horní Mísečky;50.7344;15.56725
20260613_155111_L380;20260613_155111;13.06.2026;15:39:00;380;4;9984;11;U1748Z2;Praha,Vypich;49.95211;14.04728
20260613_155111_L555;20260613_155111;13.06.2026;15:21:00;555;25;8807;28;U9096Z2;Zbečno,Žel.st.;50.03708;13.91932
20260613_155111_L400;20260613_155111;13.06.2026;15:24:00;400;55;1082;23;U6072Z2;Praha,Střížkov;50.44599;14.47261
20260613_155111_L430;20260613_155111;13.06.2026;15:37:00;430;62;8556;10;U1492Z2;Milovice,žel.st.;50.2294;14.88238
20260613_155111_L380;20260613_155111;13.06.2026;15:20:00;380;1;9972;30;U1645Z2;Praha,Vypich;50.03894;14.24514
20260613_155111_L306;20260613_155111;13.06.2026;15:35:00;306;4;8812;15;U4103Z2;Praha,Zličín;50.10719;14.21305
20260613_155111_L700;20260613_155111;13.06.2026;15:30:00;700;81;1421;18;U31212Z1;Harrachov,aut.nádr.;50.77824;15.4112
20260613_155111_L398;20260613_155111;13.06.2026;15:28:00;398;84;8268;22;U1743Z2;Praha,Černý Most;50.11862;14.64581
20260613_155111_L412;20260613_155111;13.06.2026;15:25:00;412;42;9916;10;U2987Z7;Praha,Černý Most;50.28188;14.83441
20260613_155111_L123;20260613_155111;13.06.2026;15:40:00;123;7;4010;11;U426Z1P;Šmukýřka;50.06688;14.36409
20260613_155111_L307;20260613_155111;13.06.2026;15:39:00;307;6;8959;11;U1686Z3;Kladno,U Hvězdy;50.09087;14.1342
20260613_155111_L164;20260613_155111;13.06.2026;15:39:00;164;1;1958;12;U31Z8P;Malovanka;50.07535;14.32524
20260613_155111_L384;20260613_155111;13.06.2026;15:33:00;384;17;9869;18;U1746Z1;Zdice,nám.;49.96021;14.06472
