ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260515_204607_L345;20260515_204607;15.05.2026;20:02:00;345;17;1865;32;U32718Z1;Liberec,aut.nádr.;50.73007;15.05536
20260515_204607_L400;20260515_204607;15.05.2026;20:35:00;400;6;11628;10;U6073Z1;Cvikov,aut.st.;50.47837;14.48463
20260515_204607_L442;20260515_204607;15.05.2026;20:13:00;442;5;1844;29;U3389Z1;Mladá Boleslav,aut.st.;50.4189;14.91825
20260515_205007_L345;20260515_205007;15.05.2026;20:02:00;345;17;1865;36;U32718Z1;Liberec,aut.nádr.;50.73007;15.05536
20260515_205007_L442;20260515_205007;15.05.2026;20:13:00;442;5;1844;33;U3389Z1;Mladá Boleslav,aut.st.;50.41891;14.91825
20260515_205007_L400;20260515_205007;15.05.2026;20:34:00;400;58;1081;15;U31360Z1;Rumburk,žel.st.;50.76098;14.55599
