ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260616_194840_L302;20260616_194840;16.06.2026;19:38:00;302;12;4549;10;U1671Z1;Praha,Letňany;50.15993;14.57346
20260616_194840_L136;20260616_194840;16.06.2026;19:36:00;136;48;6960;13;U344Z2P;Slavia - Nádraží Eden;50.03188;14.50473
20260616_194840_L536;20260616_194840;16.06.2026;19:12:00;536;25;7593;34;U6018Z1;Kolín,nádraží;50.02425;15.2134
20260616_194840_L400;20260616_194840;16.06.2026;19:35:00;400;58;1084;12;U6073Z1;Rumburk,žel.st.;50.47483;14.47669
20260616_195240_L136;20260616_195240;16.06.2026;19:40:00;136;48;6960;12;U1221Z1P;Slavia - Nádraží Eden;50.04249;14.4904
20260616_195240_L400;20260616_195240;16.06.2026;19:35:00;400;58;1084;16;U6073Z1;Rumburk,žel.st.;50.48086;14.48444
20260616_195240_L536;20260616_195240;16.06.2026;19:12:00;536;25;7593;38;U6018Z1;Kolín,nádraží;50.02425;15.2134
20260616_195641_L136;20260616_195641;16.06.2026;19:42:00;136;48;6960;13;U697Z5P;Slavia - Nádraží Eden;50.05241;14.47922
20260616_195641_L536;20260616_195641;16.06.2026;19:12:00;536;25;7593;42;U6018Z1;Kolín,nádraží;50.02446;15.21369
20260616_195641_L400;20260616_195641;16.06.2026;19:39:00;400;58;1084;16;U6078Z1;Rumburk,žel.st.;50.50523;14.48881
20260616_200041_L400;20260616_200041;16.06.2026;19:47:00;400;51;1091;13;U6073Z2;Praha,Střížkov;50.4718;14.47258
20260616_200041_L400;20260616_200041;16.06.2026;19:44:00;400;58;1084;15;U31048Z1;Rumburk,žel.st.;50.52163;14.51381
20260616_200041_L339;20260616_200041;16.06.2026;19:48:00;339;2;9192;10;U1564Z1;Týnec n.Sáz.,žel.st.;49.89804;14.60415
20260616_200041_L194;20260616_200041;16.06.2026;19:50:00;194;3;1910;10;U2953Z1P;Florenc;50.08727;14.39627
20260616_200041_L136;20260616_200041;16.06.2026;19:47:00;136;48;6960;13;U37Z2P;Slavia - Nádraží Eden;50.06021;14.46993
20260616_200041_L825;20260616_200041;16.06.2026;19:50:00;825;42;9613;10;U9008Z1;Králův Dvůr,Popovice;49.93168;14.02308
20260616_200441_L553;20260616_200441;16.06.2026;19:52:00;553;83;7830;10;U6562Z1;Jankov,Odlochovice;49.65114;14.7369
20260616_200441_L194;20260616_200441;16.06.2026;19:50:00;194;3;1910;14;U2953Z1P;Florenc;50.08709;14.39644
20260616_200842_L194;20260616_200842;16.06.2026;19:53:00;194;3;1910;15;U361Z4P;Florenc;50.08831;14.40462
20260616_200842_L400;20260616_200842;16.06.2026;19:51:00;400;51;1091;17;U6070Z2;Praha,Střížkov;50.44204;14.47465
20260616_200842_L400;20260616_200842;16.06.2026;19:53:00;400;58;1084;13;U31046Z4;Rumburk,žel.st.;50.55793;14.54197
