ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260612_105030_L136;20260612_105030;12.06.2026;10:37:00;136;18;6963;13;U322Z3P;Jižní Město;50.04552;14.48476
20260612_105030_L149;20260612_105030;12.06.2026;10:37:00;149;5;4200;13;U602Z4P;Stodůlky-Bavorská;50.05125;14.3514
20260612_105030_L155;20260612_105030;12.06.2026;10:39:00;155;5;9189;10;U921Z7P;Nemocnice Vinohrady;50.07906;14.47629
20260612_105030_L181;20260612_105030;12.06.2026;10:28:00;181;4;6960;19;U227Z3P;Opatov;50.06122;14.53617
20260612_105030_L181;20260612_105030;12.06.2026;10:29:00;181;4;4070;21;U677Z1P;Opatov;50.05725;14.53638
20260612_105030_L858;20260612_105030;12.06.2026;10:36:00;858;67;8713;14;U4408Z1;Slaný,gymnázium;50.19782;14.22932
20260612_105030_L300;20260612_105030;12.06.2026;10:32:00;300;2;8993;17;U4310Z1;Kladno,u kostela;50.1388;14.10093
20260612_105030_L300;20260612_105030;12.06.2026;10:37:00;300;11;8997;13;U4306Z2;Praha,Nádraží Veleslavín;50.13614;14.12688
20260612_105030_L322;20260612_105030;12.06.2026;10:40:00;322;12;8797;10;U4314Z1;Praha,Nádraží Veleslavín;50.14631;14.1055
20260612_105030_L324;20260612_105030;12.06.2026;10:38:00;324;27;8953;12;U4316Z1;Slaný,Rabasova;50.13035;14.13548
20260612_105030_L360;20260612_105030;12.06.2026;10:35:00;360;3;7211;12;U2490Z2;Praha,Smíchovské nádraží;49.85518;14.39864
20260612_105030_L381;20260612_105030;12.06.2026;10:40:00;381;3;1678;10;U2013Z1;Čáslav,obchodní centrum;49.99297;14.84029
20260612_105030_L381;20260612_105030;12.06.2026;10:40:00;381;11;9944;10;U2480Z7;Kutná Hora,hlavní nádraží;49.95463;15.27201
20260612_105030_L384;20260612_105030;12.06.2026;10:37:00;384;16;9886;10;U4979Z2;Hořovice,nám.B.Němcové;49.91818;13.99988
20260612_105030_L399;20260612_105030;12.06.2026;10:23:00;399;1;1298;27;U4325Z1;Kladno,Energie;50.14245;14.0873
20260612_105030_L399;20260612_105030;12.06.2026;10:39:00;399;1;1298;11;U4325Z2;Praha,Nádraží Veleslavín;50.14245;14.0873
20260612_105030_L400;20260612_105030;12.06.2026;10:34:00;400;5;11656;11;U1793Z1;Praha,Střížkov;50.35033;14.48882
20260612_105030_L410;20260612_105030;12.06.2026;10:34:00;410;4;11698;11;U3316Z4;Praha,Střížkov;50.36882;14.47796
