ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260620_084948_L752;20260620_084948;20.06.2026;08:37:00;752;35;7833;11;U4483Z1;Jílové u Prahy,Náměstí;49.79135;14.66897
20260620_084948_L402;20260620_084948;20.06.2026;08:38:00;402;33;7622;11;U7317Z1;Praha,Roztyly;49.72419;15.05579
20260620_084948_L752;20260620_084948;20.06.2026;08:37:00;752;35;7833;11;U4483Z1;Jílové u Prahy,Náměstí;49.79135;14.66897
20260620_084948_L402;20260620_084948;20.06.2026;08:38:00;402;33;7622;11;U7317Z1;Praha,Roztyly;49.72419;15.05579
20260620_085348_L246;20260620_085348;20.06.2026;08:37:00;246;4;3913;17;U939Z1P;Zličín;50.00661;14.41121
20260620_085348_L752;20260620_085348;20.06.2026;08:42:00;752;35;7833;11;U4485Z1;Jílové u Prahy,Náměstí;49.80866;14.64877
20260620_085348_L844;20260620_085348;20.06.2026;08:44:00;844;9;7889;10;U7525Z1;Snět;49.69311;14.9964
20260620_085348_L641;20260620_085348;20.06.2026;08:43:00;641;6;9458;10;U9855Z55;Zdice,nám.;49.86905;13.9471
20260620_085348_L246;20260620_085348;20.06.2026;08:37:00;246;4;3913;17;U939Z1P;Zličín;50.00661;14.41121
20260620_085348_L752;20260620_085348;20.06.2026;08:42:00;752;35;7833;11;U4485Z1;Jílové u Prahy,Náměstí;49.80866;14.64877
20260620_085348_L844;20260620_085348;20.06.2026;08:44:00;844;9;7889;10;U7525Z1;Snět;49.69311;14.9964
20260620_085348_L641;20260620_085348;20.06.2026;08:43:00;641;6;9458;10;U9855Z55;Zdice,nám.;49.86905;13.9471
20260620_085748_L844;20260620_085748;20.06.2026;08:46:00;844;9;7889;10;U7622Z1;Snět;49.69161;15.02335
20260620_085748_L752;20260620_085748;20.06.2026;08:47:00;752;35;7833;10;U4489Z1;Jílové u Prahy,Náměstí;49.82361;14.62052
20260620_085748_L844;20260620_085748;20.06.2026;08:46:00;844;9;7889;10;U7622Z1;Snět;49.69161;15.02335
20260620_085748_L752;20260620_085748;20.06.2026;08:47:00;752;35;7833;10;U4489Z1;Jílové u Prahy,Náměstí;49.82361;14.62052
20260620_090149_L360;20260620_090149;20.06.2026;08:49:00;360;5;7208;11;U392Z2;Sedlčany,aut.st.;49.96812;14.39431
20260620_090149_L360;20260620_090149;20.06.2026;08:49:00;360;5;7208;11;U392Z2;Sedlčany,aut.st.;49.96812;14.39431
20260620_090549_L246;20260620_090549;20.06.2026;08:50:00;246;4;3913;14;U902Z4P;Zličín;49.98294;14.39497
20260620_090549_L844;20260620_090549;20.06.2026;08:52:00;844;9;7889;10;U7622Z2;Snět;49.70652;15.00818
