ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260705_113254_L400;20260705_113254;05.07.2026;11:19:00;400;59;1083;10;U1792Z1;Praha,Střížkov;50.32053;14.50674
20260705_113254_L770;20260705_113254;05.07.2026;11:12:00;770;20;7876;17;U7666Z51;Benešov,Terminál;49.81077;14.80159
20260705_113254_L402;20260705_113254;05.07.2026;11:00:00;402;33;7599;12;U7318Z1;Čáslav,aut.st.;49.72818;15.04622
20260705_113254_L402;20260705_113254;05.07.2026;11:00:00;402;31;7673;11;U7318Z2;Praha,Roztyly;49.96574;14.62467
20260705_113254_L300;20260705_113254;05.07.2026;11:22:00;300;3;8996;11;U4794Z1;Libušín,náměstí;50.16718;14.0536
20260705_113655_L402;20260705_113655;05.07.2026;11:22:00;402;33;7599;13;U7317Z1;Čáslav,aut.st.;49.72434;15.04976
20260705_113655_L405;20260705_113655;05.07.2026;11:23:00;405;83;1422;11;U31300Z1;Špindlerův Mlýn,aut.st.;50.62167;15.59637
20260705_114056_L770;20260705_114056;05.07.2026;11:24:00;770;20;7876;16;U7807Z2;Benešov,Terminál;49.8097;14.75372
20260705_114056_L402;20260705_114056;05.07.2026;11:22:00;402;33;7599;15;U7317Z1;Čáslav,aut.st.;49.73321;15.0763
20260705_114457_L402;20260705_114457;05.07.2026;11:30:00;402;33;7599;14;U7057Z71;Čáslav,aut.st.;49.74296;15.10298
20260705_114457_L770;20260705_114457;05.07.2026;11:24:00;770;20;7876;17;U7807Z2;Benešov,Terminál;49.80796;14.72425
20260705_114858_L377;20260705_114858;05.07.2026;11:35:00;377;13;1332;12;U1000Z11;Kostelec n.L.,Martinská;50.12639;14.51508
20260705_114858_L377;20260705_114858;05.07.2026;11:36:00;377;12;1532;10;U1248Z1;Kostelec n.L.,Martinská;50.22766;14.58772
20260705_114858_L770;20260705_114858;05.07.2026;11:32:00;770;20;7876;16;U7004Z2;Benešov,Terminál;49.79273;14.70727
20260705_114858_L402;20260705_114858;05.07.2026;11:33:00;402;33;7599;13;U7159Z71;Čáslav,aut.st.;49.74382;15.08717
20260705_114858_L413;20260705_114858;05.07.2026;11:37:00;413;82;8211;11;U1000Z15;Litoměřice,aut.nádr.;50.12867;14.51127
20260705_115259_L377;20260705_115259;05.07.2026;11:35:00;377;13;1332;16;U1000Z11;Kostelec n.L.,Martinská;50.12639;14.51508
20260705_115259_L377;20260705_115259;05.07.2026;11:36:00;377;12;1532;14;U1248Z1;Kostelec n.L.,Martinská;50.22766;14.58769
20260705_115259_L770;20260705_115259;05.07.2026;11:37:00;770;20;7876;15;U4483Z3;Benešov,Terminál;49.78448;14.68133
20260705_115259_L413;20260705_115259;05.07.2026;11:37:00;413;82;8211;13;U1000Z15;Litoměřice,aut.nádr.;50.14965;14.50608
20260705_115700_L377;20260705_115700;05.07.2026;11:35:00;377;13;1332;20;U1000Z11;Kostelec n.L.,Martinská;50.12639;14.51508
20260705_115700_L413;20260705_115700;05.07.2026;11:37:00;413;82;8211;14;U1000Z15;Litoměřice,aut.nádr.;50.1711;14.45892
20260705_115700_L526;20260705_115700;05.07.2026;11:45:00;526;4;9586;10;U9110Z2;Zdice,nám.;49.89997;13.93546
20260705_120101_L526;20260705_120101;05.07.2026;11:49:00;526;4;9586;10;U9109Z1;Zdice,nám.;49.90679;13.96711
20260705_120101_L377;20260705_120101;05.07.2026;11:35:00;377;13;1332;25;U1000Z11;Kostelec n.L.,Martinská;50.12504;14.51624
20260705_120502_L641;20260705_120502;05.07.2026;11:52:00;641;4;9586;11;U9105Z2;Hořovice,nemocnice;49.90805;13.97209
20260705_120904_L641;20260705_120904;05.07.2026;11:57:00;641;4;9586;10;U9854Z2;Hořovice,nemocnice;49.89038;13.95626
