ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260516_110639_L136;20260516_110639;16.05.2026;10:55:00;136;6;6762;10;U181Z1P;Jižní Město;50.03444;14.49777
20260516_110639_L430;20260516_110639;16.05.2026;10:37:00;430;62;8563;27;U1492Z2;Milovice,žel.st.;50.2296;14.88247
20260516_110639_L384;20260516_110639;16.05.2026;10:53:00;384;16;9891;12;U1229Z2;Hořovice,nám.B.Němcové;49.89639;13.95267
20260516_110639_L342;20260516_110639;16.05.2026;10:56:00;342;18;7725;10;U2134Z2;Praha,Nádraží Veleslavín;50.1213;14.25877
20260516_110639_L347;20260516_110639;16.05.2026;10:56:00;347;31;1440;10;U1643Z1;Hostivice,Nádraží;50.05027;14.27075
20260516_110639_L207;20260516_110639;16.05.2026;10:56:00;207;1;3848;10;U480Z2P;Staroměstská;50.08845;14.42891
20260516_110639_L389;20260516_110639;16.05.2026;10:44:00;389;9;7758;22;U85Z1;Praha,Nádraží Veleslavín;50.09266;14.32333
20260516_110639_L345;20260516_110639;16.05.2026;10:45:00;345;65;1861;14;U2987Z7;Praha,Černý Most;50.38479;14.89908
20260516_110639_L454;20260516_110639;16.05.2026;10:50:00;454;3;7070;15;U31277Z1;Sedlčany,aut.st.;49.42004;14.65545
20260516_110639_L400;20260516_110639;16.05.2026;10:37:00;400;55;1088;10;U1793Z3;Nový Bor,aut.nádr.;50.47812;14.48423
20260516_111039_L454;20260516_111039;16.05.2026;10:56:00;454;3;7070;14;U31870Z2;Sedlčany,aut.st.;49.43251;14.61244
20260516_111039_L347;20260516_111039;16.05.2026;11:00:00;347;31;1440;10;U3206Z1;Hostivice,Nádraží;50.0597;14.24369
20260516_111039_L400;20260516_111039;16.05.2026;10:58:00;400;55;1088;10;U6078Z1;Nový Bor,aut.nádr.;50.50757;14.48828
20260516_111039_L342;20260516_111039;16.05.2026;10:58:00;342;18;7725;10;U1363Z2;Praha,Nádraží Veleslavín;50.11132;14.28049
20260516_111039_L207;20260516_111039;16.05.2026;10:56:00;207;1;3848;14;U480Z2P;Staroměstská;50.08845;14.42891
20260516_111439_L136;20260516_111439;16.05.2026;11:03:00;136;6;6762;10;U353Z1P;Jižní Město;50.02912;14.52568
20260516_111439_L342;20260516_111439;16.05.2026;11:04:00;342;18;7725;10;U416Z2;Praha,Nádraží Veleslavín;50.10122;14.28945
20260516_111439_L347;20260516_111439;16.05.2026;11:02:00;347;31;1440;11;U11006Z2;Hostivice,Nádraží;50.05966;14.22512
20260516_111439_L384;20260516_111439;16.05.2026;11:01:00;384;16;9891;12;U1231Z1;Hořovice,nám.B.Němcové;49.86753;13.89624
20260516_111439_L324;20260516_111439;16.05.2026;11:04:00;324;5;8957;10;U4320Z2;Praha,Zličín;50.12905;14.11614
20260516_111439_L207;20260516_111439;16.05.2026;10:56:00;207;1;3848;18;U480Z2P;Staroměstská;50.08839;14.42844
20260516_111439_L454;20260516_111439;16.05.2026;11:01:00;454;3;7070;13;U31507Z2;Sedlčany,aut.st.;49.45496;14.58908
20260516_111840_L454;20260516_111840;16.05.2026;11:06:00;454;3;7070;12;U31642Z2;Sedlčany,aut.st.;49.47515;14.55968
20260516_111840_L384;20260516_111840;16.05.2026;11:05:00;384;16;9891;13;U9614Z2;Hořovice,nám.B.Němcové;49.84943;13.88372
20260516_111840_L347;20260516_111840;16.05.2026;11:05:00;347;31;1440;11;U4141Z1;Hostivice,Nádraží;50.05955;14.22539
20260516_111840_L338;20260516_111840;16.05.2026;11:08:00;338;10;7954;10;U2500Z1;Hradištko,Pikovice,most;49.87687;14.42759
20260516_111840_L324;20260516_111840;16.05.2026;11:07:00;324;5;8957;11;U4317Z2;Praha,Zličín;50.12823;14.1291
20260516_111840_L207;20260516_111840;16.05.2026;10:56:00;207;1;3848;22;U480Z2P;Staroměstská;50.08839;14.42844
