ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260706_193503_L400;20260706_193503;06.07.2026;19:24:00;400;52;1088;11;U31357Z1;Nový Bor,aut.nádr.;50.73074;14.54661
20260706_193503_L770;20260706_193503;06.07.2026;19:23:00;770;26;7815;12;U7809Z2;Benešov,Terminál;49.81154;14.76
20260706_193503_L406;20260706_193503;06.07.2026;19:22:00;406;1;7930;12;U7012Z2;Praha,Roztyly;49.77885;14.715
20260706_193903_L400;20260706_193903;06.07.2026;19:27:00;400;53;1087;10;U6070Z2;Praha,Střížkov;50.43304;14.46831
20260706_193903_L770;20260706_193903;06.07.2026;19:24:00;770;26;7815;13;U7807Z2;Benešov,Terminál;49.80972;14.73611
20260706_193903_L400;20260706_193903;06.07.2026;19:29:00;400;52;1088;10;U31359Z1;Nový Bor,aut.nádr.;50.75439;14.55321
20260706_193903_L406;20260706_193903;06.07.2026;19:26:00;406;1;7930;11;U4073Z2;Praha,Roztyly;49.78681;14.68491
20260706_194303_L770;20260706_194303;06.07.2026;19:28:00;770;26;7815;11;U7005Z2;Benešov,Terminál;49.79704;14.71207
20260706_194303_L400;20260706_194303;06.07.2026;19:29:00;400;53;1087;11;U6060Z2;Praha,Střížkov;50.40927;14.45306
20260706_194704_L770;20260706_194704;06.07.2026;19:37:00;770;26;7815;10;U4483Z3;Benešov,Terminál;49.78741;14.6832
20260706_194704_L400;20260706_194704;06.07.2026;19:32:00;400;53;1087;12;U3316Z4;Praha,Střížkov;50.39042;14.46392
20260706_195104_L430;20260706_195104;06.07.2026;19:37:00;430;62;8559;11;U1492Z2;Milovice,žel.st.;50.23017;14.88273
20260706_195104_L400;20260706_195104;06.07.2026;19:39:00;400;53;1087;12;U1795Z2;Praha,Střížkov;50.35814;14.47359
20260706_195504_L430;20260706_195504;06.07.2026;19:37:00;430;62;8559;14;U1492Z2;Milovice,žel.st.;50.23017;14.88263
20260706_195504_L400;20260706_195504;06.07.2026;19:41:00;400;53;1087;11;U1794Z2;Praha,Střížkov;50.35064;14.48935
20260706_201106_L389;20260706_201106;06.07.2026;19:57:00;389;10;7753;10;U9229Z2;Chomutov,žel.st.;50.27306;13.97979
20260706_201507_L410;20260706_201507;06.07.2026;20:00:00;410;6;11695;12;U6070Z1;Doksy,aut.nádr.;50.46452;14.47354
20260706_201507_L389;20260706_201507;06.07.2026;20:04:00;389;10;7753;10;U9233Z2;Chomutov,žel.st.;50.28123;13.95629
20260706_201507_L463;20260706_201507;06.07.2026;20:00:00;463;56;9576;11;U6731Z2;Mladá Boleslav,aut.st.;50.30049;15.1814
20260706_201907_L463;20260706_201907;06.07.2026;20:07:00;463;56;9576;11;U9884Z1;Mladá Boleslav,aut.st.;50.30441;15.16968
20260706_201907_L410;20260706_201907;06.07.2026;20:03:00;410;6;11695;15;U6072Z1;Doksy,aut.nádr.;50.47052;14.47218
20260706_201907_L377;20260706_201907;06.07.2026;20:05:00;377;13;1331;12;U1248Z1;Kostelec n.L.,Martinská;50.22761;14.58783
20260706_202307_L377;20260706_202307;06.07.2026;20:05:00;377;13;1331;16;U1248Z1;Kostelec n.L.,Martinská;50.22761;14.58783
20260706_202307_L463;20260706_202307;06.07.2026;20:09:00;463;56;9576;11;U9885Z2;Mladá Boleslav,aut.st.;50.32278;15.15061
20260706_202307_L410;20260706_202307;06.07.2026;20:08:00;410;6;11695;15;U6078Z1;Doksy,aut.nádr.;50.49498;14.4871
20260706_202709_L463;20260706_202709;06.07.2026;20:15:00;463;56;9576;11;U9889Z1;Mladá Boleslav,aut.st.;50.31221;15.13311
20260706_202709_L686;20260706_202709;06.07.2026;20:13:00;686;88;8144;11;U2315Z1;Úvaly,žel.st.;50.07406;14.7232
20260706_202709_L499;20260706_202709;06.07.2026;20:17:00;499;63;8547;10;U3030Z1;Mladá Boleslav,aut.st.;50.23981;15.02198
20260706_202709_L307;20260706_202709;06.07.2026;20:14:00;307;4;8954;12;U1647Z1;Unhošť,nám.;50.03373;14.23127
20260706_202709_L410;20260706_202709;06.07.2026;20:10:00;410;6;11695;15;U31056Z1;Doksy,aut.nádr.;50.514;14.49451
20260706_203109_L686;20260706_203109;06.07.2026;20:13:00;686;88;8144;15;U2315Z1;Úvaly,žel.st.;50.07406;14.7232
20260706_203109_L463;20260706_203109;06.07.2026;20:16:00;463;56;9576;10;U9890Z2;Mladá Boleslav,aut.st.;50.32067;15.09667
20260706_203109_L400;20260706_203109;06.07.2026;20:21:00;400;51;1082;10;U6070Z2;Praha,Střížkov;50.44117;14.47431
20260706_203509_L463;20260706_203509;06.07.2026;20:24:00;463;56;9576;10;U6189Z2;Mladá Boleslav,aut.st.;50.34959;15.11582
20260706_203509_L400;20260706_203509;06.07.2026;20:21:00;400;51;1082;12;U6070Z2;Praha,Střížkov;50.43373;14.4691
20260706_203509_L686;20260706_203509;06.07.2026;20:13:00;686;88;8144;19;U2315Z1;Úvaly,žel.st.;50.07406;14.7232
20260706_203509_L410;20260706_203509;06.07.2026;20:20:00;410;6;11695;14;U31046Z4;Doksy,aut.nádr.;50.54392;14.54371
20260706_203909_L686;20260706_203909;06.07.2026;20:13:00;686;88;8144;23;U2315Z1;Úvaly,žel.st.;50.07406;14.7232
20260706_203909_L400;20260706_203909;06.07.2026;20:24:00;400;51;1082;14;U6060Z2;Praha,Střížkov;50.42084;14.46311
20260706_203909_L380;20260706_203909;06.07.2026;20:27:00;380;3;9981;11;U1141Z5;Praha,Vypich;50.05524;14.28882
20260706_203909_L410;20260706_203909;06.07.2026;20:23:00;410;6;11695;14;U31310Z1;Doksy,aut.nádr.;50.54899;14.56602
20260706_204310_L380;20260706_204310;06.07.2026;20:31:00;380;3;9981;11;U33Z4;Praha,Vypich;50.06263;14.31297
20260706_204310_L590;20260706_204310;06.07.2026;20:30:00;590;25;7703;10;U9288Z1;Nové Strašecí,Palackého;50.15324;13.95783
20260706_204310_L410;20260706_204310;06.07.2026;20:27:00;410;6;11695;15;U31312Z1;Doksy,aut.nádr.;50.55477;14.58902
20260706_204310_L686;20260706_204310;06.07.2026;20:13:00;686;88;8144;28;U2315Z1;Úvaly,žel.st.;50.07406;14.7232
20260706_204310_L400;20260706_204310;06.07.2026;20:27:00;400;51;1082;14;U3316Z4;Praha,Střížkov;50.39636;14.45862
20260706_204710_L410;20260706_204710;06.07.2026;20:27:00;410;6;11695;20;U31312Z1;Doksy,aut.nádr.;50.5546;14.59348
20260706_204710_L400;20260706_204710;06.07.2026;20:34:00;400;56;1085;12;U6073Z1;Nový Bor,aut.nádr.;50.47922;14.48518
20260706_204710_L590;20260706_204710;06.07.2026;20:36:00;590;25;7703;10;U9293Z1;Nové Strašecí,Palackého;50.14191;13.97062
20260706_204710_L380;20260706_204710;06.07.2026;20:35:00;380;3;9981;12;U394Z4;Praha,Vypich;50.06829;14.33547
20260706_205110_L400;20260706_205110;06.07.2026;20:40:00;400;56;1085;11;U31056Z1;Nový Bor,aut.nádr.;50.50721;14.48832
20260706_205110_L400;20260706_205110;06.07.2026;20:37:00;400;51;1082;11;U1793Z1;Praha,Střížkov;50.34973;14.48895
20260706_205110_L380;20260706_205110;06.07.2026;20:38:00;380;3;9981;11;U444Z1;Praha,Vypich;50.07881;14.34448
20260706_205511_L400;20260706_205511;06.07.2026;20:45:00;400;56;1085;10;U31047Z1;Nový Bor,aut.nádr.;50.52286;14.51712
20260706_205511_L400;20260706_205511;06.07.2026;20:42:00;400;51;1082;13;U1792Z1;Praha,Střížkov;50.34279;14.4886
20260706_211112_L626;20260706_211112;06.07.2026;20:49:00;626;10;7307;20;U3094Z2;Kladno,autobusové nádraží;50.14515;14.10709
20260706_213113_L339;20260706_213113;06.07.2026;21:20:00;339;26;9950;10;U1539Z1;Kamenice,kult.dům;49.90385;14.58805
20260706_213113_L136;20260706_213113;06.07.2026;21:21:00;136;55;6880;10;U743Z2P;Jižní Město;50.08645;14.45541
20260706_213113_L646;20260706_213113;06.07.2026;21:16:00;646;71;8077;13;U1794Z2;Mělník,aut.nádr.;50.3507;14.48971
20260706_213514_L136;20260706_213514;06.07.2026;21:25:00;136;55;6880;10;U118Z4P;Jižní Město;50.07923;14.46055
20260706_214714_L377;20260706_214714;06.07.2026;21:36:00;377;13;1331;10;U1248Z1;Kostelec n.L.,Martinská;50.22759;14.58783
20260706_215115_L650;20260706_215115;06.07.2026;21:38:00;650;91;12560;10;U31427Z1;Mšené-lázně,u kapličky;50.40651;14.14123
20260706_215915_L400;20260706_215915;06.07.2026;21:38:00;400;59;1083;19;U6078Z1;Varnsdorf,aut.nádr.;50.50337;14.48693
20260706_220316_L400;20260706_220316;06.07.2026;21:43:00;400;59;1083;19;U31048Z1;Varnsdorf,aut.nádr.;50.52077;14.50223
20260706_220316_L367;20260706_220316;06.07.2026;21:53:00;367;9;8284;10;U1824Z1;Brandýs n.L.-St.Bol.,aut.st.;50.17787;14.6538
20260706_220716_L202;20260706_220716;06.07.2026;21:56:00;202;3;2340;10;U451Z1P;Čakovice;50.15086;14.51454
20260706_220716_L367;20260706_220716;06.07.2026;21:56:00;367;9;8284;10;U1924Z1;Brandýs n.L.-St.Bol.,aut.st.;50.19216;14.66919
20260706_220716_L136;20260706_220716;06.07.2026;21:54:00;136;1;6962;13;U451Z1P;Sídliště Čakovice;50.15093;14.51506
20260706_221116_L202;20260706_221116;06.07.2026;21:56:00;202;3;2340;14;U451Z1P;Čakovice;50.15089;14.51458
20260706_221116_L136;20260706_221116;06.07.2026;21:54:00;136;1;6962;16;U451Z1P;Sídliště Čakovice;50.15093;14.51506
20260706_221517_L400;20260706_221517;06.07.2026;21:56:00;400;59;1083;18;U31348Z1;Varnsdorf,aut.nádr.;50.58554;14.54971
20260706_221517_L202;20260706_221517;06.07.2026;21:56:00;202;3;2340;19;U451Z1P;Čakovice;50.15089;14.51458
20260706_221517_L136;20260706_221517;06.07.2026;21:54:00;136;1;6962;21;U451Z1P;Sídliště Čakovice;50.15093;14.51506
20260706_221917_L400;20260706_221917;06.07.2026;22:01:00;400;59;1083;18;U31351Z1;Varnsdorf,aut.nádr.;50.61105;14.57748
20260706_221917_L313;20260706_221917;06.07.2026;22:08:00;313;46;9809;10;U9050Z1;Roblín;49.9672;14.24248
20260706_221917_L377;20260706_221917;06.07.2026;22:05:00;377;11;1534;12;U1248Z1;Kostelec n.L.,Martinská;50.22753;14.58786
20260706_221917_L202;20260706_221917;06.07.2026;21:59:00;202;3;2340;20;U934Z1P;Čakovice;50.1512;14.52677
20260706_221917_L136;20260706_221917;06.07.2026;21:56:00;136;1;6962;21;U114Z1P;Sídliště Čakovice;50.15549;14.52244
20260706_222317_L377;20260706_222317;06.07.2026;22:05:00;377;11;1534;16;U1248Z1;Kostelec n.L.,Martinská;50.22753;14.58786
