ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260708_085338_L125;20260708_085338;08.07.2026;08:38:00;125;9;5134;16;U1345Z1P;Skalka;50.0313;14.50959
20260708_085338_L125;20260708_085338;08.07.2026;08:29:00;125;2;6931;15;U181Z2P;Smíchovské nádraží;50.04631;14.40973
20260708_085338_L125;20260708_085338;08.07.2026;08:40:00;125;1;6980;13;U337Z3P;Skalka;50.05041;14.41019
20260708_085338_L125;20260708_085338;08.07.2026;08:42:00;125;12;5510;11;U181Z1P;Skalka;50.03945;14.49056
20260708_085338_L133;20260708_085338;08.07.2026;08:43:00;133;6;4111;11;U3018Z2P;Florenc;50.08837;14.44311
20260708_085338_L133;20260708_085338;08.07.2026;08:42:00;133;51;3956;10;U34Z2P;Florenc;50.0897;14.46812
20260708_085338_L136;20260708_085338;08.07.2026;08:36:00;136;2;5011;16;U743Z2P;Jižní Město;50.08307;14.45856
20260708_085338_L136;20260708_085338;08.07.2026;08:41:00;136;58;6947;12;U69Z2P;Jižní Město;50.08892;14.46087
20260708_085338_L136;20260708_085338;08.07.2026;08:39:00;136;22;5030;13;U29Z1P;Jižní Město;50.07257;14.47047
20260708_085338_L204;20260708_085338;08.07.2026;08:14:00;204;74;9013;38;U741Z1P;Sídliště Petrovice;50.06563;14.54961
20260708_085338_L209;20260708_085338;08.07.2026;08:40:00;209;44;9481;12;U1120Z1P;Letňany;50.12944;14.55089
20260708_085338_L228;20260708_085338;08.07.2026;08:37:00;228;11;9048;16;U336Z2P;Poliklinika Malešice;50.03213;14.59808
20260708_085338_L849;20260708_085338;08.07.2026;08:26:00;849;16;7866;23;U7742Z2;Načeradec;49.60575;14.91715
20260708_085338_L300;20260708_085338;08.07.2026;08:36:00;300;29;8994;15;U85Z1;Praha,Nádraží Veleslavín;50.09571;14.34691
20260708_085338_L300;20260708_085338;08.07.2026;08:34:00;300;2;8993;19;U4303Z52;Kladno,u kostela;50.15295;14.1879
20260708_085338_L311;20260708_085338;08.07.2026;08:43:00;311;74;9597;10;U1664Z2;Praha,Zličín;49.95273;14.2131
20260708_085338_L322;20260708_085338;08.07.2026;08:35:00;322;6;8959;17;U3094Z1;Kladno,autobusové nádraží;50.1444;14.0961
20260708_085338_L324;20260708_085338;08.07.2026;08:36:00;324;30;8896;10;U218Z2;Praha,Zličín;50.05317;14.27727
20260708_085338_L332;20260708_085338;08.07.2026;08:39:00;332;28;9954;10;U50Z4;Jílové u Prahy,náměstí;50.0389;14.45758
20260708_085338_L334;20260708_085338;08.07.2026;08:17:00;334;41;7818;28;U1330Z2;Praha,Smíchovské nádraží;49.97987;14.45367
20260708_085338_L361;20260708_085338;08.07.2026;08:41:00;361;58;1122;10;U337Z4;Praha,Smíchovské nádraží;50.05975;14.40958
20260708_085338_L389;20260708_085338;08.07.2026;08:26:00;389;33;7760;12;U4774Z2;Praha,Nádraží Veleslavín;50.09313;14.29499
20260708_085338_L399;20260708_085338;08.07.2026;08:41:00;399;4;1296;11;U80Z4;Praha,Nádraží Veleslavín;50.09267;14.32085
20260708_085338_L399;20260708_085338;08.07.2026;08:38:00;399;12;1262;14;U4320Z1;Kladno,Energie;50.13239;14.11224
20260708_085338_L400;20260708_085338;08.07.2026;08:41:00;400;56;1085;11;U31047Z1;Nový Bor,aut.nádr.;50.52656;14.52136
20260708_085338_L400;20260708_085338;08.07.2026;08:04:00;400;55;1088;10;U1793Z1;Praha,Střížkov;50.16219;14.47557
20260708_085338_L402;20260708_085338;08.07.2026;08:30:00;402;3;7672;12;U7318Z2;Praha,Roztyly;49.90486;14.73504
20260708_085338_L483;20260708_085338;08.07.2026;08:41:00;483;35;7847;12;U7443Z1;Divišov,nám.;49.79026;14.87198
20260708_085338_L536;20260708_085338;08.07.2026;07:28:00;536;27;7592;82;U6943Z1;Žiželice,nám.;50.13193;15.39347
20260708_085338_L548;20260708_085338;08.07.2026;08:29:00;548;13;9546;24;U9780Z2;Hořovice,nemocnice;49.83907;13.90925
20260708_085338_L585;20260708_085338;08.07.2026;07:32:00;585;18;7034;79;U4201Z1;Poděbrady,žel.st.;50.14914;15.12325
20260708_085338_L597;20260708_085338;08.07.2026;07:32:00;597;5;7306;79;U9149Z1;Velvary,nám.;50.28341;14.2456
20260708_085338_L678;20260708_085338;08.07.2026;08:42:00;678;33;8557;10;U9590Z1;Poděbrady,žel.st.;50.10743;15.1383
20260708_085338_L686;20260708_085338;08.07.2026;08:43:00;686;34;8142;10;U2315Z1;Úvaly,žel.st.;50.07325;14.72558
20260708_085338_L740;20260708_085338;08.07.2026;08:35:00;740;19;7624;18;U6978Z1;Čáslav,žel.st.;49.88964;15.41353
20260708_085338_L770;20260708_085338;08.07.2026;08:31:00;770;41;7810;12;U7795Z52;Benešov,Terminál;49.81679;14.802
20260708_085739_L125;20260708_085739;08.07.2026;08:47:00;125;12;5510;11;U379Z1P;Skalka;50.03181;14.51397
20260708_085739_L133;20260708_085739;08.07.2026;08:45:00;133;51;3956;10;U69Z2P;Florenc;50.0889;14.46087
20260708_085739_L136;20260708_085739;08.07.2026;08:42:00;136;58;6947;15;U2787Z2P;Jižní Město;50.0878;14.45627
20260708_085739_L136;20260708_085739;08.07.2026;08:43:00;136;22;5030;14;U37Z1P;Jižní Město;50.06044;14.46957
20260708_085739_L172;20260708_085739;08.07.2026;08:43:00;172;1;4045;11;U355Z2P;Smíchovské nádraží;50.04977;14.41064
20260708_085739_L204;20260708_085739;08.07.2026;08:47:00;204;71;9011;10;U3240Z3P;Sídliště Petrovice;50.06659;14.55345
20260708_085739_L209;20260708_085739;08.07.2026;08:43:00;209;44;9481;14;U526Z2P;Letňany;50.12897;14.54315
20260708_085739_L300;20260708_085739;08.07.2026;08:45:00;300;29;8994;12;U462Z12;Kladno,u kostela;50.09593;14.3471
20260708_085739_L311;20260708_085739;08.07.2026;08:47:00;311;74;9597;10;U1638Z4;Praha,Zličín;49.97035;14.21308
