ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260623_093516_L221;20260623_093516;23.06.2026;09:03:00;221;5;1759;29;U454Z4P;Černý Most;50.08695;14.66546
20260623_093516_L331;20260623_093516;23.06.2026;09:22:00;331;2;4142;12;U5087Z1;Dolní Břežany,Zálepy;49.97386;14.47677
20260623_093516_L170;20260623_093516;23.06.2026;09:24:00;170;3;3830;10;U960Z2P;Jižní Město;50.0388;14.50408
20260623_093516_L180;20260623_093516;23.06.2026;09:16:00;180;14;3994;18;U872Z1P;Dejvická;50.07994;14.34783
20260623_093516_L199;20260623_093516;23.06.2026;09:18:00;199;3;4101;16;U921Z6P;Sídliště Malešice;50.07919;14.47547
20260623_093516_L151;20260623_093516;23.06.2026;09:20:00;151;5;3869;12;U474Z7P;Českomoravská;50.109;14.49795
20260623_093516_L720;20260623_093516;23.06.2026;08:56:00;720;68;1413;38;U31189Z2;Praha,Černý Most;50.62719;15.29368
20260623_093516_L151;20260623_093516;23.06.2026;09:21:00;151;4;2334;13;U259Z1P;Novoborská;50.11689;14.51399
20260623_093516_L177;20260623_093516;23.06.2026;09:23:00;177;7;6974;11;U953Z1P;Chodov;50.06576;14.50603
20260623_093516_L155;20260623_093516;23.06.2026;09:01:00;155;2;9468;32;U834Z2P;Nemocnice Vinohrady;50.08725;14.48227
20260623_093516_L585;20260623_093516;23.06.2026;07:32:00;585;18;7035;120;U4201Z1;Poděbrady,žel.st.;50.14909;15.12322
20260623_093516_L136;20260623_093516;23.06.2026;09:22:00;136;13;6819;13;U37Z1P;Jižní Město;50.06111;14.46944
20260623_093516_L136;20260623_093516;23.06.2026;09:17:00;136;11;5542;18;U106Z2P;Jižní Město;50.02752;14.50775
20260623_093516_L199;20260623_093516;23.06.2026;09:14:00;199;6;3966;21;U161Z2P;Želivského;50.08124;14.49526
20260623_093516_L137;20260623_093516;23.06.2026;09:19:00;137;2;4198;15;U922Z3P;Na Knížecí;50.0688;14.40202
20260623_093516_L136;20260623_093516;23.06.2026;09:21:00;136;33;5515;12;U1074Z4P;Jižní Město;50.09222;14.46985
20260623_093516_L250;20260623_093516;23.06.2026;09:20:00;250;5;6973;15;U621Z1P;Sídliště Rohožník;50.07331;14.6778
20260623_093516_L136;20260623_093516;23.06.2026;09:17:00;136;14;5081;18;U69Z2P;Jižní Město;50.08888;14.46095
20260623_093516_L244;20260623_093516;23.06.2026;09:23:00;244;7;3933;12;U600Z4P;Smíchovské nádraží;49.99401;14.3752
20260623_093516_L201;20260623_093516;23.06.2026;09:20:00;201;14;4130;15;U993Z2P;Nádraží Holešovice;50.11723;14.47317
20260623_093516_L136;20260623_093516;23.06.2026;09:17:00;136;29;5114;18;U118Z4P;Jižní Město;50.0781;14.46074
