ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260520_212705_L240;20260520_212705;20.05.2026;21:08:00;240;10;1752;19;U732Z1P;Háje;50.04306;14.55569
20260520_212705_L821;20260520_212705;20.05.2026;21:16:00;821;69;1583;10;U2385Z1;Horní Kruty,Bohouňovice II;49.91956;14.95962
20260520_212705_L400;20260520_212705;20.05.2026;21:12:00;400;58;1084;14;U31387Z2;Rumburk,žel.st.;50.9078;14.6194
20260520_212705_L401;20260520_212705;20.05.2026;21:12:00;401;73;7890;10;U6487Z2;Votice,aut.st.;49.63851;14.65142
20260520_212705_L550;20260520_212705;20.05.2026;20:18:00;550;78;7839;67;U6757Z1;Vlašim,žel.st.;49.7008;14.89722
20260520_212705_L646;20260520_212705;20.05.2026;21:14:00;646;12;8077;10;U4248Z1;Kralupy n.Vlt.,žel.st.;50.25022;14.32029
20260520_213106_L136;20260520_213106;20.05.2026;21:16:00;136;55;6879;13;U1074Z4P;Jižní Město;50.09161;14.46866
20260520_213106_L365;20260520_213106;20.05.2026;21:21:00;365;10;8860;10;U4110Z1;Stochov,nám.;50.10313;14.04557
20260520_213106_L400;20260520_213106;20.05.2026;21:15:00;400;58;1084;13;U31388Z3;Rumburk,žel.st.;50.91052;14.60387
20260520_213106_L550;20260520_213106;20.05.2026;20:18:00;550;78;7839;71;U6757Z1;Vlašim,žel.st.;49.7008;14.89722
20260520_213106_L646;20260520_213106;20.05.2026;21:14:00;646;12;8077;14;U4248Z1;Kralupy n.Vlt.,žel.st.;50.25024;14.32018
20260520_213506_L550;20260520_213506;20.05.2026;20:18:00;550;78;7839;75;U6757Z1;Vlašim,žel.st.;49.70081;14.89722
20260520_213506_L646;20260520_213506;20.05.2026;21:14:00;646;12;8077;18;U4248Z1;Kralupy n.Vlt.,žel.st.;50.25024;14.32018
20260520_213506_L240;20260520_213506;20.05.2026;21:20:00;240;11;1764;14;U215Z2P;Háje;50.05426;14.56443
20260520_213506_L400;20260520_213506;20.05.2026;21:20:00;400;58;1084;12;U31389Z2;Rumburk,žel.st.;50.93716;14.55831
20260520_213506_L136;20260520_213506;20.05.2026;21:20:00;136;55;6879;15;U2787Z2P;Jižní Město;50.08807;14.45762
20260520_213906_L136;20260520_213906;20.05.2026;21:23:00;136;55;6879;15;U516Z3P;Jižní Město;50.08213;14.45947
20260520_213906_L240;20260520_213906;20.05.2026;21:25:00;240;11;1764;14;U973Z1P;Háje;50.04482;14.55801
20260520_213906_L400;20260520_213906;20.05.2026;21:25:00;400;58;1084;11;U31390Z2;Rumburk,žel.st.;50.94985;14.55727
20260520_213906_L550;20260520_213906;20.05.2026;20:18:00;550;78;7839;79;U6757Z1;Vlašim,žel.st.;49.70081;14.89722
20260520_214306_L550;20260520_214306;20.05.2026;20:18:00;550;78;7839;83;U6757Z1;Vlašim,žel.st.;49.70078;14.89724
20260520_214306_L240;20260520_214306;20.05.2026;21:31:00;240;11;1764;12;U1012Z1P;Háje;50.03497;14.55777
20260520_214306_L372;20260520_214306;20.05.2026;21:33:00;372;18;8014;10;U1780Z2;Kralupy n.Vlt.,žel.st.;50.27727;14.39587
20260520_214306_L136;20260520_214306;20.05.2026;21:27:00;136;55;6879;15;U518Z3P;Jižní Město;50.0759;14.45912
20260520_214707_L136;20260520_214707;20.05.2026;21:32:00;136;55;6879;15;U680Z3P;Jižní Město;50.06839;14.46923
20260520_214707_L240;20260520_214707;20.05.2026;21:36:00;240;11;1764;10;U151Z2P;Háje;50.03088;14.53014
20260520_214707_L240;20260520_214707;20.05.2026;21:36:00;240;10;1752;11;U491Z2P;Černý Most;50.03507;14.55196
20260520_214707_L550;20260520_214707;20.05.2026;20:18:00;550;78;7839;87;U6757Z1;Vlašim,žel.st.;49.70078;14.89724
20260520_215107_L136;20260520_215107;20.05.2026;21:36:00;136;55;6879;15;U751Z2P;Jižní Město;50.05261;14.47517
20260520_215107_L136;20260520_215107;20.05.2026;21:36:00;136;3;6724;13;U1074Z4P;Jižní Město;50.0911;14.4683
20260520_215107_L240;20260520_215107;20.05.2026;21:40:00;240;10;1752;11;U978Z2P;Černý Most;50.04015;14.55864
