ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260524_192923_L589;20260524_192923;24.05.2026;18:55:00;589;1;7759;31;U4858Z1;Louny,ČSAD;50.35575;13.77905
20260524_192923_L410;20260524_192923;24.05.2026;19:10:00;410;6;11696;19;U332Z2;Doksy,aut.nádr.;50.12656;14.48859
20260524_192923_L324;20260524_192923;24.05.2026;19:08:00;324;4;8972;13;U1915Z2;Slaný,Rabasova;50.22572;14.04364
20260524_192923_L170;20260524_192923;24.05.2026;19:19:00;170;5;4189;10;U697Z3P;Jižní Město;50.04823;14.48139
20260524_192923_L400;20260524_192923;24.05.2026;18:49:00;400;54;1081;16;U1792Z1;Praha,Střížkov;50.18727;14.48091
20260524_192923_L400;20260524_192923;24.05.2026;19:10:00;400;53;1088;15;U31046Z5;Praha,Střížkov;50.52429;14.51928
20260524_192923_L401;20260524_192923;24.05.2026;18:45:00;401;13;7898;37;U601Z2;Miličín;49.99832;14.57853
20260524_192923_L136;20260524_192923;24.05.2026;19:16:00;136;8;5063;13;U37Z1P;Jižní Město;50.06045;14.46957
20260524_192923_L315;20260524_192923;24.05.2026;19:16:00;315;78;8670;13;U3399Z2;Praha,Černý Most;50.48198;14.94258
20260524_193324_L136;20260524_193324;24.05.2026;19:24:00;136;4;5538;10;U125Z1P;Sídliště Čakovice;50.13874;14.50477
20260524_193324_L136;20260524_193324;24.05.2026;19:19:00;136;8;5063;14;U751Z2P;Jižní Město;50.05256;14.47515
20260524_193324_L170;20260524_193324;24.05.2026;19:23:00;170;5;4189;10;U181Z1P;Jižní Město;50.03949;14.49054
20260524_193324_L315;20260524_193324;24.05.2026;19:20:00;315;78;8670;12;U3397Z2;Praha,Černý Most;50.46929;14.94111
20260524_193324_L324;20260524_193324;24.05.2026;19:21:00;324;4;8972;12;U4836Z2;Slaný,Rabasova;50.23602;14.07334
20260524_193324_L400;20260524_193324;24.05.2026;19:18:00;400;53;1088;15;U31056Z2;Praha,Střížkov;50.50781;14.48853
20260524_193324_L425;20260524_193324;24.05.2026;19:22:00;425;20;1629;11;U32465Z3;Praha,Černý Most;50.36669;15.62956
20260524_193324_L589;20260524_193324;24.05.2026;18:55:00;589;1;7759;35;U4858Z1;Louny,ČSAD;50.35577;13.77903
20260524_193724_L136;20260524_193724;24.05.2026;19:28:00;136;4;5538;10;U451Z1P;Sídliště Čakovice;50.15062;14.51314
20260524_193724_L136;20260524_193724;24.05.2026;19:23:00;136;8;5063;13;U417Z1P;Jižní Město;50.04292;14.48775
20260524_193724_L650;20260524_193724;24.05.2026;19:26:00;650;91;12523;11;U31429Z1;Litoměřice,žel.st.hor.;50.40445;14.12967
20260524_193724_L324;20260524_193724;24.05.2026;19:24:00;324;4;8972;13;U4786Z2;Slaný,Rabasova;50.22789;14.0831
20260524_193724_L589;20260524_193724;24.05.2026;18:55:00;589;1;7759;39;U4858Z1;Louny,ČSAD;50.35577;13.77903
20260524_193724_L365;20260524_193724;24.05.2026;19:27:00;365;11;8813;10;U610Z4;Praha,Motol;50.07876;14.34364
20260524_193724_L425;20260524_193724;24.05.2026;19:22:00;425;20;1629;12;U32465Z3;Praha,Černý Most;50.34696;15.63146
20260524_193724_L315;20260524_193724;24.05.2026;19:25:00;315;78;8670;11;U3395Z2;Praha,Černý Most;50.44218;14.92915
20260524_194124_L136;20260524_194124;24.05.2026;19:28:00;136;8;5063;13;U344Z1P;Jižní Město;50.03148;14.50548
20260524_194124_L136;20260524_194124;24.05.2026;19:30:00;136;4;5538;11;U114Z1P;Sídliště Čakovice;50.15624;14.5225
