ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260703_104850_L414;20260703_104850;03.07.2026;10:33:00;414;20;1290;12;U4259Z12;Praha,Terminál 1;50.10987;14.27644
20260703_104850_L700;20260703_104850;03.07.2026;10:27:00;700;18;10272;10;U9443Z3;Praha,Černý Most;50.58669;15.09579
20260703_104850_L345;20260703_104850;03.07.2026;10:38:00;345;16;1864;10;U3392Z2;Praha,Černý Most;50.43108;14.92281
20260703_104850_L311;20260703_104850;03.07.2026;10:31:00;311;77;9763;16;U1643Z2;Praha,Zličín;50.05285;14.27588
20260703_104850_L459;20260703_104850;03.07.2026;10:37:00;459;71;7880;10;U31276Z1;Tábor,aut.nádr.;49.41324;14.66376
20260703_104850_L400;20260703_104850;03.07.2026;10:14:00;400;5;11656;15;U6078Z2;Praha,Střížkov;50.35036;14.48697
20260703_104850_L825;20260703_104850;03.07.2026;10:28:00;825;43;9581;15;U4256Z1;Mořinka;49.93824;14.23251
20260703_104850_L400;20260703_104850;03.07.2026;10:38:00;400;54;1091;10;U31355Z2;Praha,Střížkov;50.69494;14.5412
20260703_104850_L387;20260703_104850;03.07.2026;10:33:00;387;2;9374;13;U2006Z2;Praha,Háje;49.99187;14.69224
20260703_104850_L731;20260703_104850;03.07.2026;10:30:00;731;5;9590;18;U6251Z1;Bělá p.Bezd.,Bezdědice;50.48294;14.70492
20260703_104850_L400;20260703_104850;03.07.2026;10:26:00;400;58;1084;22;U31358Z1;Rumburk,žel.st.;50.74326;14.5513
20260703_104850_L741;20260703_104850;03.07.2026;10:37:00;741;12;7626;11;U7284Z2;Zbýšov,Chlum;49.83596;15.40561
20260703_104850_L405;20260703_104850;03.07.2026;10:25:00;405;61;1419;18;U31024Z1;Praha,Černý Most;50.6204;15.61947
20260703_104850_L740;20260703_104850;03.07.2026;10:35:00;740;21;7621;13;U6978Z1;Čáslav,žel.st.;49.88961;15.41322
20260703_104850_L497;20260703_104850;03.07.2026;10:36:00;497;6;8556;12;U3151Z2;Milovice,žel.st.;50.17561;15.01257
20260703_105250_L511;20260703_105250;03.07.2026;10:42:00;511;3;9587;10;U9162Z1;Tochovice,ObÚ;49.60959;14.0107
20260703_105250_L405;20260703_105250;03.07.2026;10:25:00;405;61;1419;21;U31024Z1;Praha,Černý Most;50.62082;15.59682
20260703_105250_L381;20260703_105250;03.07.2026;10:43:00;381;11;9944;10;U2481Z1;Kutná Hora,hlavní nádraží;49.95262;15.27557
20260703_105250_L382;20260703_105250;03.07.2026;10:42:00;382;20;9937;10;U336Z1;Sázava,aut.st.;50.03029;14.60063
20260703_105250_L387;20260703_105250;03.07.2026;10:39:00;387;2;9374;13;U1878Z2;Praha,Háje;49.99952;14.66705
20260703_105250_L400;20260703_105250;03.07.2026;10:41:00;400;54;1091;11;U32490Z1;Praha,Střížkov;50.68075;14.53667
20260703_105250_L459;20260703_105250;03.07.2026;10:40:00;459;71;7880;11;U31281Z1;Tábor,aut.nádr.;49.41169;14.67716
20260703_105250_L741;20260703_105250;03.07.2026;10:42:00;741;12;7626;11;U7281Z2;Zbýšov,Chlum;49.80934;15.40421
20260703_105250_L497;20260703_105250;03.07.2026;10:41:00;497;6;8556;10;U2912Z2;Milovice,žel.st.;50.1716;14.96942
20260703_105250_L770;20260703_105250;03.07.2026;10:43:00;770;50;7815;10;U7915Z2;Benešov,Terminál;49.8496;14.90057
20260703_105250_L345;20260703_105250;03.07.2026;10:38:00;345;16;1864;11;U3392Z2;Praha,Černý Most;50.41881;14.91722
20260703_105250_L369;20260703_105250;03.07.2026;10:42:00;369;32;8269;10;U1792Z1;Praha,Ládví;50.34293;14.48836
20260703_105250_L798;20260703_105250;03.07.2026;10:41:00;798;72;7858;10;U4073Z2;Benešov,Terminál;49.78579;14.68989
20260703_105250_L740;20260703_105250;03.07.2026;10:39:00;740;21;7621;13;U6973Z1;Čáslav,žel.st.;49.90658;15.39706
20260703_105651_L897;20260703_105651;03.07.2026;10:45:00;897;3;8553;10;U1333Z2;Lysá n.L.,žel.st.;50.18477;14.95383
20260703_105651_L324;20260703_105651;03.07.2026;10:46:00;324;27;8996;10;U4310Z1;Slaný,Rabasova;50.13655;14.1037
20260703_105651_L232;20260703_105651;03.07.2026;10:43:00;232;12;3728;11;U817Z2P;Na Knížecí;50.06466;14.40413
