ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260620_094858_L485;20260620_094858;20.06.2026;09:31:00;485;36;7856;15;U2488Z2;Rabyně,Nová Rabyně;49.80858;14.43506
20260620_094858_L387;20260620_094858;20.06.2026;09:35:00;387;16;9178;14;U2011Z1;Kostelec n.Č.l.,Nám.;49.98785;14.79072
20260620_094858_L400;20260620_094858;20.06.2026;09:32:00;400;54;1082;14;U3316Z4;Praha,Střížkov;50.39237;14.46278
20260620_094858_L695;20260620_094858;20.06.2026;09:37:00;695;2;1361;11;U6101Z1;Mšeno,žel.st.;50.43979;14.63304
20260620_094858_L574;20260620_094858;20.06.2026;09:34:00;574;89;8388;12;U32651Z2;Radnice,nám.;49.85985;13.59451
20260620_094858_L844;20260620_094858;20.06.2026;09:35:00;844;9;7889;12;U7476Z1;Snět;49.65167;15.21237
20260620_094858_L139;20260620_094858;20.06.2026;09:26:00;139;6;6733;20;U882Z2P;Želivského;49.99103;14.41108
20260620_094858_L360;20260620_094858;20.06.2026;09:38:00;360;5;7208;10;U4746Z1;Sedlčany,aut.st.;49.73231;14.32514
20260620_094858_L307;20260620_094858;20.06.2026;09:39:00;307;6;8952;10;U1686Z3;Kladno,U Hvězdy;50.0855;14.13389
