ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260622_095432_L131;20260622_095432;22.06.2026;09:19:00;131;5;4196;35;U163Z6P;Bořislavka;50.09985;14.40427
20260622_095432_L136;20260622_095432;22.06.2026;09:40:00;136;16;6877;12;U1074Z4P;Jižní Město;50.092;14.46924
20260622_095432_L136;20260622_095432;22.06.2026;09:33:00;136;12;6777;21;U353Z1P;Jižní Město;50.02604;14.52105
20260622_095432_L136;20260622_095432;22.06.2026;09:42:00;136;13;6719;12;U151Z1P;Jižní Město;50.03209;14.53453
20260622_095432_L137;20260622_095432;22.06.2026;09:42:00;137;8;3817;12;U922Z3P;Na Knížecí;50.06875;14.4014
20260622_095432_L149;20260622_095432;22.06.2026;09:14:00;149;6;3932;40;U846Z2P;Dejvická;50.05755;14.36876
20260622_095432_L155;20260622_095432;22.06.2026;09:27:00;155;6;9154;26;U357Z2P;Poliklinika Malešice;50.08694;14.48502
20260622_095432_L155;20260622_095432;22.06.2026;09:31:00;155;1;9467;23;U834Z2P;Nemocnice Vinohrady;50.08701;14.48459
20260622_095432_L163;20260622_095432;22.06.2026;09:43:00;163;59;9124;11;U741Z2P;Depo Hostivař;50.07038;14.5412
20260622_095432_L180;20260622_095432;22.06.2026;09:44:00;180;3;5565;11;U867Z1P;Dejvická;50.09355;14.38919
20260622_095432_L188;20260622_095432;22.06.2026;09:44:00;188;4;5507;10;U548Z1P;Kavčí hory;50.08214;14.50193
20260622_095432_L199;20260622_095432;22.06.2026;09:25:00;199;2;4161;27;U418Z2P;Želivského;50.07708;14.48732
20260622_095432_L199;20260622_095432;22.06.2026;09:38:00;199;3;3959;15;U418Z2P;Želivského;50.07792;14.48879
20260622_095432_L203;20260622_095432;22.06.2026;09:44:00;203;3;1945;10;U909Z1P;Háje;50.01489;14.47133
20260622_095432_L203;20260622_095432;22.06.2026;09:36:00;203;8;1940;18;U181Z1P;Háje;50.0396;14.49043
20260622_095432_L228;20260622_095432;22.06.2026;09:41:00;228;11;9044;13;U107Z1P;Poliklinika Malešice;50.06331;14.59142
20260622_095432_L300;20260622_095432;22.06.2026;09:36:00;300;10;8967;16;U80Z3;Kladno,u kostela;50.11445;14.28589
20260622_095432_L300;20260622_095432;22.06.2026;09:42:00;300;11;8997;11;U4306Z1;Libušín,náměstí;50.13467;14.12001
20260622_095432_L300;20260622_095432;22.06.2026;09:32:00;300;22;8998;21;U4310Z1;Smečno;50.14049;14.09953
20260622_095432_L304;20260622_095432;22.06.2026;09:35:00;304;65;8408;11;U9291Z6;Praha,Vypich;50.10823;14.05958
20260622_095432_L313;20260622_095432;22.06.2026;09:43:00;313;81;9827;10;U1640Z1;Černošice,žel.zast.;49.96174;14.28532
20260622_095432_L315;20260622_095432;22.06.2026;09:21:00;315;1;8667;15;U3261Z51;Praha,Černý Most;50.12028;14.58913
20260622_095432_L322;20260622_095432;22.06.2026;09:35:00;322;17;8744;18;U80Z4;Praha,Nádraží Veleslavín;50.09301;14.31283
20260622_095432_L332;20260622_095432;22.06.2026;09:41:00;332;30;9173;13;U423Z2;Praha,Budějovická;50.00744;14.47969
20260622_095432_L332;20260622_095432;22.06.2026;09:33:00;332;19;9955;18;U2127Z1;Jílové u Prahy,Náměstí;49.9199;14.50103
20260622_095432_L334;20260622_095432;22.06.2026;09:22:00;334;42;7891;26;U317Z2;Praha,Smíchovské nádraží;50.04945;14.41056
20260622_095432_L337;20260622_095432;22.06.2026;09:26:00;337;13;9366;27;U1540Z1;Benešov,Terminál;49.89629;14.60971
20260622_095432_L345;20260622_095432;22.06.2026;09:35:00;345;8;1860;19;U897Z63;Mnichovo Hradiště,nám.;50.11002;14.5824
20260622_095432_L356;20260622_095432;22.06.2026;09:26:00;356;34;8859;27;U1214Z2;Praha,Bořislavka;50.11311;14.35581
20260622_095432_L361;20260622_095432;22.06.2026;09:36:00;361;55;1125;11;U902Z4;Praha,Smíchovské nádraží;50.02918;14.39759
20260622_095432_L369;20260622_095432;22.06.2026;09:43:00;369;33;8233;10;U3242Z2;Praha,Ládví;50.15453;14.48559
20260622_095432_L375;20260622_095432;22.06.2026;09:43:00;375;2;8297;10;U1000Z5;Praha,Českomoravská;50.12556;14.51258
20260622_095432_L389;20260622_095432;22.06.2026;09:26:00;389;10;7753;15;U4774Z2;Praha,Nádraží Veleslavín;50.11839;14.27956
20260622_095432_L389;20260622_095432;22.06.2026;09:42:00;389;17;7755;10;U4777Z2;Chomutov,žel.st.;50.22927;14.08677
20260622_095432_L395;20260622_095432;22.06.2026;09:43:00;395;41;9878;11;U2860Z2;Praha,Smíchovské nádraží;49.79004;14.17792
20260622_095432_L399;20260622_095432;22.06.2026;09:43:00;399;2;1296;10;U4320Z1;Kladno,Energie;50.13225;14.11129
20260622_095432_L400;20260622_095432;22.06.2026;09:34:00;400;51;1086;16;U3316Z4;Praha,Střížkov;50.37782;14.47112
20260622_095432_L400;20260622_095432;22.06.2026;09:12:00;400;58;1084;22;U1793Z3;Rumburk,žel.st.;50.47461;14.47633
20260622_095432_L405;20260622_095432;22.06.2026;09:22:00;405;62;1417;16;U2987Z42;Praha,Černý Most;50.29997;14.85429
20260622_095432_L406;20260622_095432;22.06.2026;09:40:00;406;4;7936;13;U9389Z2;Praha,Roztyly;49.72163;14.83242
20260622_095432_L413;20260622_095432;22.06.2026;09:39:00;413;64;8212;12;U31417Z4;Litoměřice,aut.nádr.;50.5218;14.13752
20260622_095432_L415;20260622_095432;22.06.2026;09:35:00;415;4;12433;18;U6408Z3;Kadaň,aut.nádr.;50.19534;13.64853
20260622_095432_L425;20260622_095432;22.06.2026;09:22:00;425;43;7590;10;U32465Z3;Praha,Černý Most;50.2413;15.49294
20260622_095432_L427;20260622_095432;22.06.2026;09:40:00;427;3;11611;13;U31110Z1;Mimoň,Žitavská;50.59445;14.79084
20260622_095432_L429;20260622_095432;22.06.2026;09:44:00;429;19;8877;10;U698Z3;Unhošť,Nám.;50.09899;14.28893
20260622_095432_L442;20260622_095432;22.06.2026;09:35:00;442;6;1842;19;U3379Z1;Lysá n.L.,žel.st.;50.2856;14.82796
20260622_095432_L461;20260622_095432;22.06.2026;09:24:00;461;25;1612;29;U1538Z2;Strančice,žel.st.;49.91452;14.58238
20260622_095432_L467;20260622_095432;22.06.2026;09:41:00;467;5;8116;11;U6439Z1;Roudnice n.L.,ČSAD;50.37553;14.87469
20260622_095432_L471;20260622_095432;22.06.2026;09:43:00;471;37;8018;11;U1787Z1;Neratovice,Kojetická;50.3088;14.51536
20260622_095432_L493;20260622_095432;22.06.2026;09:44:00;493;32;8613;10;U3028Z1;Nymburk,hl.nádr.;50.1695;15.07111
20260622_095432_L536;20260622_095432;22.06.2026;08:57:00;536;30;7658;57;U2816Z9;Žiželice,nám.;50.02402;15.21344
20260622_095432_L548;20260622_095432;22.06.2026;09:35:00;548;12;9511;17;U9858Z1;Praskolesy;49.86713;13.93004
20260622_095432_L641;20260622_095432;22.06.2026;09:39:00;641;14;9573;14;U9860Z2;Hořovice,nemocnice;49.85061;13.91818
20260622_095432_L720;20260622_095432;22.06.2026;09:02:00;720;2;10253;22;U2987Z11;Praha,Černý Most;50.20992;14.69846
20260622_095432_L740;20260622_095432;22.06.2026;09:44:00;740;21;7591;10;U6985Z1;Golčův Jeníkov,nám.TGM;49.84847;15.46592
