ID Záznamu;Timestamp;Den;Čas příjezdu;Linka;Oběh;Vozidlo;Zpoždění (min);Zastávka;Směr;Zeměpisná šířka (Lat);Zeměpisná délka (Lon)
20260515_094733_L826;20260515_094733;15.05.2026;09:27:00;826;35;8576;17;U2270Z2;Český Brod,žel.st.;50.07602;14.86555
20260515_094733_L400;20260515_094733;15.05.2026;09:35:00;400;57;1088;10;U6078Z1;Varnsdorf,aut.nádr.;50.49722;14.48641
20260515_094733_L155;20260515_094733;15.05.2026;09:09:00;155;2;9120;37;U921Z7P;Nemocnice Vinohrady;50.07924;14.47547
20260515_094733_L389;20260515_094733;15.05.2026;08:12:00;389;16;7765;92;U32406Z12;Chomutov,žel.st.;50.45662;13.40004
20260515_094733_L324;20260515_094733;15.05.2026;09:21:00;324;27;8996;19;U218Z2;Praha,Zličín;50.05271;14.27553
20260515_094733_L342;20260515_094733;15.05.2026;09:28:00;342;3;7685;19;U4786Z1;Slaný,žel.st.;50.23085;14.08302
20260515_094733_L412;20260515_094733;15.05.2026;09:37:00;412;41;9909;10;U31012Z2;Praha,Černý Most;50.43911;15.3505
20260515_094733_L548;20260515_094733;15.05.2026;09:36:00;548;13;9546;11;U5004Z2;Zbiroh,nám.;49.86085;13.84062
20260515_094733_L641;20260515_094733;15.05.2026;09:33:00;641;14;9561;13;U9855Z55;Hořovice,nemocnice;49.88266;13.93907
20260515_094733_L825;20260515_094733;15.05.2026;09:37:00;825;44;9575;10;U2171Z1;Králův Dvůr,Popovice;49.96128;14.10139
20260515_094733_L706;20260515_094733;15.05.2026;09:36:00;706;59;1643;10;U9415Z2;Uhlířské Janovice,nám.;49.97411;15.13239
20260515_094733_L650;20260515_094733;15.05.2026;09:31:00;650;25;12555;12;U31427Z2;Litoměřice,žel.st.hor.;50.45022;14.16828
20260515_094733_L506;20260515_094733;15.05.2026;08:40:00;506;3;9535;67;U9708Z2;Příbram,Svatá Hora areál;49.68707;14.02202
20260515_094733_L400;20260515_094733;15.05.2026;09:34:00;400;51;1082;13;U3316Z4;Praha,Střížkov;50.40814;14.44777
20260515_094733_L110;20260515_094733;15.05.2026;09:36:00;110;8;8095;11;U349Z1P;Dolní Počernice;50.08757;14.56343
20260515_094733_L136;20260515_094733;15.05.2026;09:36:00;136;15;6813;10;U743Z2P;Jižní Město;50.08308;14.45858
20260515_094733_L760;20260515_094733;15.05.2026;09:34:00;760;60;8386;11;U31987Z1;Podbořany,aut.nádr.;50.22204;13.40427
20260515_094733_L767;20260515_094733;15.05.2026;09:24:00;767;23;8607;22;U6086Z2;Dolní Slivno;50.30325;14.72782
20260515_095134_L136;20260515_095134;15.05.2026;09:42:00;136;15;6813;10;U518Z3P;Jižní Město;50.0766;14.45886
20260515_095134_L155;20260515_095134;15.05.2026;09:09:00;155;2;9120;41;U921Z7P;Nemocnice Vinohrady;50.07924;14.47547
20260515_095134_L825;20260515_095134;15.05.2026;09:40:00;825;44;9575;11;U2172Z3;Králův Dvůr,Popovice;49.96319;14.09153
20260515_095134_L826;20260515_095134;15.05.2026;09:27:00;826;35;8576;21;U2270Z2;Český Brod,žel.st.;50.07602;14.86555
20260515_095134_L356;20260515_095134;15.05.2026;09:39:00;356;33;8774;12;U1320Z2;Praha,Bořislavka;50.15274;14.28726
20260515_095134_L389;20260515_095134;15.05.2026;08:12:00;389;16;7765;96;U32406Z12;Chomutov,žel.st.;50.45661;13.40004
20260515_095134_L400;20260515_095134;15.05.2026;09:34:00;400;51;1082;14;U3316Z4;Praha,Střížkov;50.38673;14.46604
20260515_095134_L506;20260515_095134;15.05.2026;08:40:00;506;3;9535;70;U9708Z2;Příbram,Svatá Hora areál;49.68707;14.02202
20260515_095134_L548;20260515_095134;15.05.2026;09:37:00;548;13;9546;11;U5003Z2;Zbiroh,nám.;49.86856;13.81721
20260515_095134_L641;20260515_095134;15.05.2026;09:33:00;641;14;9561;16;U9855Z55;Hořovice,nemocnice;49.8693;13.93011
20260515_095134_L650;20260515_095134;15.05.2026;09:39:00;650;25;12555;12;U31424Z1;Litoměřice,žel.st.hor.;50.45423;14.14628
20260515_095134_L760;20260515_095134;15.05.2026;09:34:00;760;60;8386;15;U31987Z1;Podbořany,aut.nádr.;50.22205;13.40427
20260515_095134_L767;20260515_095134;15.05.2026;09:24:00;767;23;8607;26;U6086Z2;Dolní Slivno;50.30324;14.72775
20260515_095534_L155;20260515_095534;15.05.2026;09:09:00;155;2;9120;45;U921Z7P;Nemocnice Vinohrady;50.07924;14.47547
20260515_095534_L177;20260515_095534;15.05.2026;09:42:00;177;1;5536;13;U827Z2P;Poliklinika Mazurská;50.07871;14.50833
20260515_095534_L825;20260515_095534;15.05.2026;09:45:00;825;44;9575;10;U4272Z1;Králův Dvůr,Popovice;49.96885;14.07943
20260515_095534_L826;20260515_095534;15.05.2026;09:27:00;826;35;8576;25;U2270Z2;Český Brod,žel.st.;50.07602;14.86555
20260515_095534_L356;20260515_095534;15.05.2026;09:45:00;356;33;8774;10;U1213Z1;Praha,Bořislavka;50.14184;14.31814
20260515_095534_L389;20260515_095534;15.05.2026;08:12:00;389;16;7765;100;U32406Z12;Chomutov,žel.st.;50.45661;13.40004
20260515_095534_L400;20260515_095534;15.05.2026;09:34:00;400;51;1082;15;U3316Z4;Praha,Střížkov;50.36201;14.46963
20260515_095534_L412;20260515_095534;15.05.2026;09:44:00;412;41;9909;11;U31007Z2;Praha,Černý Most;50.45418;15.27519
20260515_095534_L506;20260515_095534;15.05.2026;08:40:00;506;3;9535;75;U9708Z2;Příbram,Svatá Hora areál;49.68721;14.02175
20260515_095534_L548;20260515_095534;15.05.2026;09:43:00;548;13;9546;12;U31962Z1;Zbiroh,nám.;49.86769;13.79349
20260515_095534_L640;20260515_095534;15.05.2026;09:42:00;640;29;9553;10;U9810Z1;Hostomice,nám.;49.82579;14.0451
20260515_095534_L686;20260515_095534;15.05.2026;09:43:00;686;34;8034;10;U2315Z1;Úvaly,žel.st.;50.07417;14.72304
20260515_095534_L760;20260515_095534;15.05.2026;09:34:00;760;60;8386;19;U31987Z1;Podbořany,aut.nádr.;50.22207;13.40427
20260515_095534_L767;20260515_095534;15.05.2026;09:24:00;767;23;8607;30;U6086Z2;Dolní Slivno;50.30326;14.72774
20260515_095935_L155;20260515_095935;15.05.2026;09:09:00;155;2;9120;50;U921Z7P;Nemocnice Vinohrady;50.07924;14.47547
20260515_095935_L177;20260515_095935;15.05.2026;09:47:00;177;1;5536;12;U2703Z2P;Poliklinika Mazurská;50.08885;14.51385
20260515_095935_L825;20260515_095935;15.05.2026;09:47:00;825;44;9575;12;U1745Z1;Králův Dvůr,Popovice;49.96549;14.07223
20260515_095935_L826;20260515_095935;15.05.2026;09:27:00;826;35;8576;28;U2270Z2;Český Brod,žel.st.;50.07604;14.86556
20260515_095935_L356;20260515_095935;15.05.2026;09:48:00;356;33;8774;11;U1201Z2;Praha,Bořislavka;50.14668;14.33264
20260515_095935_L365;20260515_095935;15.05.2026;09:49:00;365;12;8832;10;U872Z7;Praha,Motol;50.07668;14.34873
20260515_095935_L389;20260515_095935;15.05.2026;08:12:00;389;16;7765;104;U32406Z12;Chomutov,žel.st.;50.45661;13.40004
20260515_095935_L412;20260515_095935;15.05.2026;09:48:00;412;41;9909;10;U31004Z2;Praha,Černý Most;50.45533;15.22622
20260515_095935_L467;20260515_095935;15.05.2026;09:48:00;467;5;8037;11;U9296Z2;Roudnice n.L.,ČSAD;50.36925;14.84992
20260515_095935_L640;20260515_095935;15.05.2026;09:42:00;640;29;9553;14;U9810Z1;Hostomice,nám.;49.82578;14.0451
20260515_095935_L650;20260515_095935;15.05.2026;09:45:00;650;25;12555;14;U31421Z2;Litoměřice,žel.st.hor.;50.48854;14.14652
20260515_095935_L686;20260515_095935;15.05.2026;09:43:00;686;34;8034;14;U2315Z1;Úvaly,žel.st.;50.07417;14.72304
